S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP04：それは風や水　木々や鉄だって同じです　|　这一点对于风和水 木和铁都是一样的
S1 EP04：私と先生でもダメ　|　我和老师也不行吗
S1 EP04：ダメです　|　不行
S1 EP04：でも　水は生き物と違って素直ですから　|　但是水和生物不一样 很听话
S1 EP04：ここに来て　小６か月の私でも　|　即使是才来这里不到六个月的我
S1 EP04：詞術を使うことができます　|　也能对它使用词术
S1 EP04：生術でできることをもう１つ教えますね　|　再告诉你一件生术能做到的事
S1 EP04：エレアよりイータの水へ　|　爱蕾雅致伊塔的水
S1 EP04：畳む木の虚　黒き腱の塚　反射する殻　|　叠木之虚 黑腱之冢 反射之壳
S1 EP04：融けよ　|　溶解吧
S1 EP04：なめてみてください　|　你舔舔看
S1 EP04：甘い　|　好甜
S1 EP04：生術は工術のように物の形を変えるのではなく　|　生术不是像工术那样改变物体形态
S1 EP04：物の性質を変える術なんです　|　而是改变物体性质的法术
S1 EP04：水をお酒に変えたりもできるんですよ　|　甚至能把水变成酒哦
S1 EP04：そうなんだ　|　这样啊
S1 EP04：ミッチ婆になんでケガを治せるのって聞いたらね　|　我问过米琪婆婆为什么她会治疗
S1 EP04：なんとなくできるって言ってた　|　她说不知不觉中就会了
S1 EP04：森人は生術が得意ですから　そうなのかもしれませんね　|　森人很擅长生术 可能就是这样吧
S1 EP04：先生も生術が一番得意なんですよ　|　老师我也最擅长生术了
S1 EP04：そうなの　|　这样吗
S1 EP04：じゃあ　私がケガしたら治してね　|　那我受伤了也治好我吧
S1 EP04：もちろんです　|　没问题
S1 EP04：やった　|　好耶
S1 EP04：でも…　|　可是…
S1 EP04：私が本当に得意なのは…　|　我真正擅长的是…
S1 EP04：これで授業はおしまいです　|　课就上到这里
S1 EP04：またこちらに立ち寄った時　続きを教えましょうね　|　之后的内容 我下次来再教你
S1 EP04：あのね　先生　|　那个 老师
S1 EP04：はいはい　なんです　|　怎么了
S1 EP04：ちょっと　|　喂
S1 EP04：先生　好き　|　好喜欢老师
S1 EP04：黄都に帰っても　大好きだよ　|　回黄都了也喜欢
S1 EP04：先生も　ヤウィカさんのことが大好きですよ　|　老师我也很喜欢亚维卡
S1 EP04：おっぱいも大きくて　すごい　|　胸也好大 好厉害
S1 EP04：それは関係ないでしょ　|　跟这个没关系吧
S1 EP04：もう　|　真是的
S1 EP04：私は少しの間だけ　|　我在这短暂的时光里
S1 EP04：自分がこの村に来た理由を忘れることができた　|　得以忘记自己来这个村庄的理由
S1 EP04：ヤウィカには決して言えない　その理由を　|　那个绝不能告诉亚维卡的理由
S1 EP04：人間って　こんなにお風呂が長いの　|　人类泡个澡要这么久吗
S1 EP04：キア？　|　祈雅？
S1 EP04：ヤウィカを人間の長風呂に付き合わせないでくれる　|　别让亚维卡陪你泡那么久的澡好吗
S1 EP04：腹黒先生　|　腹黑老师
S1 EP04：人のことをそんなふうに呼んではいけませんよ　キア　|　不能这样称呼别人哦 祈雅
S1 EP04：だって　そうじゃない　|　本来就是这样嘛
S1 EP04：家ではだらしないのに　外では上品ぶっちゃってさ　|　明明在家很散漫 在外面就举止优雅
S1 EP04：そんなことより　こんな所で何をしているんです　|　比起这个 你在这种地方干什么
S1 EP04：先生が出てからお風呂に入ろうと思ってたのに　|　本来想等老师出来之后去泡澡的
S1 EP04：長いんだもの　|　你泡太久了
S1 EP04：詞術でのぞき見もいけませんね　|　用词术来偷窥也是不对的哦
S1 EP04：バカにしないで　やらしい　|　你瞎说什么呢 真下流
S1 EP04：高いとこのほうが虫とか来なくて休めるだけ　|　我只是觉得高处没有虫子适合休息
S1 EP04：もしかしてキアも授業を受けたかったのですか　|　难道说祈雅也想听课吗
S1 EP04：いや　勉強なんて絶対いや　|　不想 学习什么的绝对不要
S1 EP04：ヤウィカがヘンテコなだけよ　|　想听课的只有亚维卡那种怪人
S1 EP04：先生の前まであたしを下ろして　|　让我降到老师面前
S1 EP04：戻って　|　回去
S1 EP04：返すわ　|　还给你
S1 EP04：ありがとう　|　谢谢
S1 EP04：詞術は作用させる対象を理解した上で　|　词术需要在理解作用对象的基础上
S1 EP04：その魂へ言葉を紡ぐための特別な詠唱が必要となる　|　用特别的咏唱将语言编织到灵魂
S1 EP04：でも　例外が存在する　|　但是 也有例外存在
S1 EP04：ただ１人　キアの詞術だけが　すべての原則に反している　|　只有一人 唯独祈雅的词术 违背了所有的原则
S1 EP04：キア　|　祈雅
S1 EP04：詞術はあまり自分勝手なことに使ってはいけませんよ　|　不要经常把词术用在任性的事情上哦
S1 EP04：あなたの力は…　|　你的力量是…
S1 EP04：人を幸せにするための才能だからって言うんでしょ　|　为了让人们幸福的才能 你想这么说对吧
S1 EP04：いっつも同じことばっかり　|　你老是说同样的话
S1 EP04：あなたの力は特別なんです　|　你的力量是特别的
S1 EP04：普通と同じように使ってはつまらないでしょう　|　像普通人一样使用的话会很无聊吧
S1 EP04：楽しく暮らせてるなら　普通でいいじゃない　|　只要能过得开心 普通点不也挺好的
S1 EP04：イータの外では普通じゃありません　|　你在伊塔之外可不普通
S1 EP04：すぐに黄都の学校に通うことになるんですからね　|　毕竟你马上就要去黄都上学了
S1 EP04：でも　これから行くのは黄都じゃなくてリチアでしょ　|　但我们接下来要去的不是黄都 是利奇亚吧
S1 EP04：リチアだって同じですよ　|　在利奇亚也是一样的
S1 EP04：森人だけじゃなくて　|　不只是森人
S1 EP04：山人やレプラコーンだっているんです　|　那里也有山人和小人
S1 EP04：そんなのもいるの　|　连那种也有吗
S1 EP04：だから他の人にどう見られるかも考えなさい　|　所以也想想别人会怎么看你
S1 EP04：悪口を言われるかもしれませんよ　|　也可能会有人说你的坏话哦
S1 EP04：そんなの全然気にしないわ　|　那种事我完全不在意哦
S1 EP04：そんなヤツら　もしあたしが「死ね」って言えば　|　那种家伙 只要我说「去死」
S1 EP04：みんな　死んじゃうんだから　|　他们都会死掉的
S1 EP04：キア　|　祈雅
S1 EP04：先生　|　老师
S1 EP04：先生　どうも　|　老师 您好
S1 EP04：あら　おはようございます　ヤウィカさん　シエンさん　|　哎呀 早上好 亚维卡同学 希恩同学
S1 EP04：今日で先生たちが行っちゃうから　|　因为老师你们今天就要走了
S1 EP04：シエンも来たいって　挨拶しに来たの　|　希恩也想过来打个招呼
S1 EP04：いえ　僕は…その…　|　不 我是…那个…
S1 EP04：そうなんですか　|　是这样啊
S1 EP04：先生もシエンさんが来てくれてうれしいです　|　希恩能来我也很高兴
S1 EP04：はい　|　好的
S1 EP04：先生　キアはこんなですけど　|　老师 您别看祈雅她这样
S1 EP04：村の子供も大人たちも先生には…　|　其实村里的孩子和大人们都对老师…
S1 EP04：その…感謝してて　|　那个…很感谢
S1 EP04：僕も…すごく感謝しています　|　我也…很感谢老师
S1 EP04：先生のおかげで　みんな賢くなったんです　|　多亏了老师 大家都学到很多知识
S1 EP04：本当です　|　是真的
S1 EP04：もしもそうなら　先生にとって一番うれしいことです　|　要真是这样 对老师来说也是最开心的事
S1 EP04：一度だけ授業で言ったことがありましたね　|　以前在课堂上说过一次吧
S1 EP04：知恵とは種のようなもの　|　智慧就如同种子
S1 EP04：学びの水を絶やさぬならば　それは自ら育つ　|　要是学习的水源不断 它就会自己生长
S1 EP04：その種を最初にまいてくれたのは　|　而第一个播下这颗种子的人
S1 EP04：エレア先生です　|　是爱蕾雅老师
S1 EP04：なのに　なんのお礼も返せなくて　|　可我却无以为报
S1 EP04：お礼なんて　|　回报什么的
S1 EP04：かわいい教え子ができた以上にうれしいことなんてありませんよ　|　没有比教导了这么可爱的学生更让我高兴的事了
S1 EP04：ね　ヤウィカさん　|　对吧 亚维卡同学
S1 EP04：先生　大好き　|　最喜欢老师了
S1 EP04：ホントに白々しいわ　|　真是虚情假意
S1 EP04：こういうのが悪い大人なのよ　|　这种就叫坏大人
S1 EP04：キアは黄都での勉強が嫌なだけだろ　|　祈雅只是不想去黄都学习吧
S1 EP04：勉強なんて好きな子のほうがヘンテコなの　|　喜欢学习的小孩才是怪人吧
S1 EP04：もう　キアさんはいつも素直じゃないんですから　|　真是的 祈雅同学总是那么不坦率
S1 EP04：身分を偽ってまで　キアの黄都への留学を取りつけたのは　|　我不惜伪造身份让祈雅去黄都留学
S1 EP04：たった１つの目的のためだ　|　只有一个目的
S1 EP04：「勇者」を決定する上覧試合　|　决出「勇者」的御前比试
S1 EP04：キアなら誰が相手でも勝てる　|　祈雅出战的话无人能敌
S1 EP04：たとえ黄都そのものとだって戦える　|　即使和黄都本身也能一战
S1 EP04：勝てば　妾の子の私でも　誰にも見下されないようになる　|　只要获胜 即使是侧室之女的我也能不再被蔑视
S1 EP04：ねえ　キア　いつものとこ行こ　|　祈雅 去那个老地方吧
S1 EP04：しばらくお別れだもん　|　毕竟要分开一段时间了
S1 EP04：いいわよ　あんなとこ　|　不用了吧 那种地方
S1 EP04：それって　どこのこと　|　是什么地方呢
S1 EP04：キアさんのお気に入りの場所なんですか　|　是祈雅喜欢的地方吗
S1 EP04：あたしじゃない　ヤウィカが好きなの　|　不是我 是亚维卡喜欢
S1 EP04：あたしはついてってあげただけよ　|　我只是陪她一起啦
S1 EP04：連れてって　|　快带我去啦
S1 EP04：もう　分かったわよ　|　真是的 知道了啦
S1 EP04：腹黒先生はついてこなくていいから　|　腹黑老师就不用过来了
S1 EP04：大したとこじゃないし　|　不是什么大不了的地方
S1 EP04：待って　|　等等
S1 EP04：はいはい　|　好好
S1 EP04：とか言いつつ　ついていっちゃったりして　|　虽然这么说 但我就要跟着去
S1 EP04：もう　ホントにいいから　|　真的不用啦
S1 EP04：あの坂　茂みの中に道があったんだね　|　原来那个坡的树丛中还有路啊
S1 EP04：村のやぐらのてっぺんがちょっと見えるとこで抜けられるの　|　可以从稍微看到村庄瞭望塔顶的地方穿出去
S1 EP04：この道はイノシシや鹿が使っているかもしれませんよ　|　说不定野猪和鹿也会从这条路走
S1 EP04：別にイノシシくらいなら　僕が力術で追い払えます　|　只是野猪的话 我可以用力术把它们赶走
S1 EP04：シエンはすごいね　|　希恩真厉害啊
S1 EP04：あたしなんて群れごと高い木のてっぺんに引っかけてやるわ　|　我会把它们整群挂到很高的树上去
S1 EP04：キアもすっごいな　|　祈雅也很厉害呢
S1 EP04：もう　先生を置いてかないでくださいね　|　真是的 不要丢下老师不管啊
S1 EP04：縦列なら人間の成人でも問題なく進行できる　|　排成纵列的话成年人也可以顺利前进
S1 EP04：方向からして第四の山に出そうね　|　从方向来看出口应该在第四座山
S1 EP04：収穫祭では　その熱と美しさに見とれながらも　|　在丰收祭上 热情与美好让我着迷
S1 EP04：祭りの間の防御態勢がどうであるのかを記録した　|　但我也记录了祭典期间的防御态势
S1 EP04：森の植物の使い道を教えるついでに　|　在教授森林中植物的用途时
S1 EP04：薬草の詳細な記録を鳥に乗せて黄都へ送った　|　也用鸟把草药的详细记录送往黄都
S1 EP04：濃霧が人跡を阻むこの秘境を調査した　|　我调查了这个因迷雾而人迹罕至的秘境
S1 EP04：いずれ黄都の軍が　この村の何もかもを奪うだろう　|　总有一天黄都的军队会掠夺走这个村庄的一切吧
S1 EP04：本物の魔王の時代にうわさとなった　|　在真正魔王的时代就有传闻
S1 EP04：「全能の詞術を使う者」の村の位置は　|　「全能的词术使用者」的村庄位置
S1 EP04：捕らえたリチアの兵から知った　|　我从抓来的利奇亚士兵那里得知
S1 EP04：その兵もすでにこの世にはいない　|　那个士兵也已经不在世上了
S1 EP04：あとは　私と世界詞とのつながりを知りえる者さえ始末すれば…　|　之后 只要处理掉知道我和世界词之间联系的人…
S1 EP04：ほら　着いたわよ　|　看吧 已经到了
S1 EP04：疲れたね　|　好累啊
S1 EP04：先生も疲れてる　|　老师也累了吗
S1 EP04：え　本当にここが　|　是啊 真的是这里吗
S1 EP04：ほら　全然大したことないでしょ　|　看吧 完全没什么大不了的吧
S1 EP04：だから　いいって言ったのよ　|　所以我就说不用来的
S1 EP04：曇ってるからじゃない　|　会不会是因为阴天呢
S1 EP04：キアが晴らせばいいじゃないか　|　祈雅让天放晴就好了吧
S1 EP04：そうだね　キアがいてよかった　|　是啊 有祈雅在真是太好了
S1 EP04：晴らすって　どういうことですか　|　让天放晴 是怎么回事
S1 EP04：やめてよ　|　别这样嘛
S1 EP04：２人とも簡単に言っちゃってさ　|　你们俩说得这么简单
S1 EP04：でもまあ　|　不过
S1 EP04：この村の最後の思い出がこれだなんて　さえないし　|　在这个村子最后的记忆是这样的话 也太没趣了
S1 EP04：言っとくけど　別にムキになったわけじゃないから　|　先说好 我可没有在较真
S1 EP04：晴れて　|　放晴
S1 EP04：無敵だ　|　无敌
S1 EP04：これは無敵の力だ　|　这是无敌的力量
S1 EP04：きっとどんな相手が立ち塞がろうと　キアは勝つ　|　无论面对什么样的对手 祈雅都绝对会赢
S1 EP04：ほら　別に全然大した景色なんかじゃないんだから…　|　都说了 不是什么大不了的风景…
S1 EP04：先生？　|　老师？
S1 EP04：どうかしましたか　|　怎么了吗
S1 EP04：先生？　|　老师？
S1 EP04：泣いてる　|　你在哭吗
S1 EP04：泣いてませんよ　|　没有哭哦
S1 EP04：先生…泣いてませんから　|　老师我…并没有哭
S1 EP04：それはすべての摂理を無視して　あらゆる存在をねじ曲げる力を持つ　|　她拥有无视一切天理 扭曲一切存在的力量
S1 EP04：それはすべてを一語のもとに支配し　いかなる自然をも凌駕する　|　她可以用一句话支配一切 凌驾于自然法则之上
S1 EP04：それは万物の外にある特異点であり　一切の解析と予測をも拒絶する　|　她是超越万物的特异点 拒绝一切的解析与预测
S1 EP04：現時点において　限界すら計測されていない　全能の魔才である　|　在当下 是连极限都未能被测量的全能魔才
S1 EP04：詞術士　森人　世界詞のキア　|　词术士 森人 世界词祈雅
S1 EP04：#黄都 中央拘留所
S1 EP04：#伊塔森林道
S1 EP04：#人类 黄都第十七卿 红纸签爱蕾雅
S1 EP04：#语言：这个世界不存在共通的语言，各种个体都以其独特的语法和发音来构筑语言。通过词术得以翻译各种语言的含义。只要是拥有语言的存在，即使是非人种族或“彼方”的人类也可以进行对话。
S1 EP04：#大海的希古尔雷与静歌娜斯缇库
S1 EP04 OUT

S1 EP05 IN
S1 EP05：本物の魔王が死んだ　|　真正的魔王已经死了
S1 EP05：地平のすべてを恐怖させた世界の敵を　何者かが倒した　|　使大地上所有生灵恐惧的敌人 被某人打倒了
S1 EP05：その１人の勇者はいまだ　その名も実在も知れぬままである　|　至今 人们也无法确定那位勇者的姓名与存在
S1 EP05：恐怖の時代が終息した今　その１人を決める必要があった　|　在恐惧时代结束后的现在 必须决出这位勇者
S1 EP05：音斬りシャルク　海たるヒグアレ　|　斩音夏鲁库 大海的希古尔雷
S1 EP05：名だたる２名を確保するとは上々の収穫だったな　ラナ　|　能将久负盛名的两位请来 收获不错啊 拉娜
S1 EP05：ありがとうございます　|　感谢您的肯定
S1 EP05：しかし　「世界詞」までは高望みだったかな　|　不过 「世界词」还是奢望了吗
S1 EP05：さすがに尾ひれの付いたうわさだったんでしょうね　|　那应该只是夸张的传闻吧
S1 EP05：全能の詞術なんて代物があれば　戦にも楽に勝てるでしょうが　|　真要有全能的词术 战争都能轻松取胜吧
S1 EP05：たとえ実在したとて　|　如果真的存在
S1 EP05：その者を制御する方策を考えなければならんかもな　|　就必须考虑对付它的方法
S1 EP05：うわさは聞いているぞ　海たるヒグアレ　|　你的传闻我听过 大海的希古尔雷
S1 EP05：辺境では無敗の剣闘士であったそうだな　|　你在边境是不败的剑斗士吧
S1 EP05：はい　それなりに長く続けてきました　|　对 而且做了很长时间
S1 EP05：人間の単位で言うと　13年か14年になるかと　|　以人类的单位来说 大概是十三十四年吧
S1 EP05：奴隷剣闘か　|　是奴隶剑斗吗
S1 EP05：辺境には人や獣の命を賭けに使う　野蛮な市もあった　|　在边境有野蛮的城市 把人类与野兽的性命当作赌注
S1 EP05：無論　違法の所業だ　|　这自然是非法的行业
S1 EP05：本物の魔王の時代には　王国の目が届かない地も多かったでしょうからね　|　在真正魔王的时代 王国管不到的地方挺多的吧
S1 EP05：そういうことじゃない　|　这不是重点
S1 EP05：14年間も奴隷商人の言いなりになってたんだろ　|　对奴隶商人惟命是从十四年
S1 EP05：それで無敵っていうのはどうなんだ　|　这算什么无敌呢
S1 EP05：確かに一理あるな　|　确实有道理
S1 EP05：差し支えなければ聞かせてもらえるか　ヒグアレ　|　无妨的话可以讲给我们听听吗 希古尔雷
S1 EP05：そうですね　|　说的也是
S1 EP05：私は人族に名も知られぬ　西の果てに生まれました　|　我诞生在不为人族所知的极西之地
S1 EP05：いたぞ　根獣だ　|　找到了 根兽
S1 EP05：大収穫だな　|　赚大了
S1 EP05：これで何をするのでしょうか　|　我该用这个做什么呢
S1 EP05：何って？戦うに決まってんだろ　|　做什么？当然是战斗啦
S1 EP05：戦う？　|　战斗？
S1 EP05：抵抗もできねえ根獣を殺すだけじゃ　盛り上がんねえだろうが　|　杀一只没有还手之力的根兽 看着多无聊啊
S1 EP05：分かりました　戦います　|　知道了 我会战斗
S1 EP05：次の試合は　どなたが相手ですか　|　下一场战斗的对手是谁呢
S1 EP05：上位闘士が３人だ　せいぜい上手に死ねや　|　是三名高级斗士 死得漂亮一点哦
S1 EP05：死ぬ？　|　死？
S1 EP05：死ぬとはどういう意味でしょう　|　死是什么意思呢
S1 EP05：残念だがな　ヒグアレ　|　很遗憾 希古尔雷
S1 EP05：この闘技場では　殺すか死ぬかなんだよ　|　在这斗技场里 要么杀要么死
S1 EP05：殺すか　死ぬか…　|　要么杀 要么死…
S1 EP05：殺すか　死ぬか…　|　要么杀 要么死…
S1 EP05：お前は別の市に売ることにした　|　我把你卖到别的地方去了
S1 EP05：私は　さらに強い者と戦わされるのでしょうか　|　我会与更强的人战斗吗
S1 EP05：そうだな　お前はずっと殺される側だ　|　是啊 你会一直是被杀的那方
S1 EP05：バケモノが人族に倒されるほうが映えるんだよ　|　怪物被人杀才是出好戏啊
S1 EP05：私は死ぬのですか　|　我会死吗
S1 EP05：まあ　そうなるだろうよ　|　应该会的吧
S1 EP05：いいえ　死にたくはありません　|　不 我不想死
S1 EP05：腰の回転だけでなく　|　不只是腰部的扭转
S1 EP05：背骨を使って　刺突の速度を出している　|　还用上了脊柱 提高突刺的速度
S1 EP05：私が再現するなら　体内の維管束を編んで…　|　如果要模仿的话 就得编织体内的维管束…
S1 EP05：速度に追いついても　力では負ける　|　就算速度能跟上 力量也不及
S1 EP05：私のつるの腕なら…　|　如果用我的藤蔓手臂…
S1 EP05：指先の筋肉を見る　|　观察他们的指尖肌肉
S1 EP05：銃弾の発射速度に斬撃が間に合うかどうか　|　斩击的速度能否跟上子弹
S1 EP05：つるの射出反動で視界の外に消えれば…　|　如果能用藤蔓的弹射作用脱离他们视线…
S1 EP05：次は誰と戦うのでしょう　|　接下来要跟谁战斗呢
S1 EP05：お前はもう最強の闘士として名が知れている　|　你的名号已经是最强斗士了
S1 EP05：観客の誰も　海たるヒグアレの敗北を望んでねえ　|　没有观众会想看大海的希古尔雷被打败
S1 EP05：鍛錬を続けなければ　次は敗北するかもしれません　|　如果不继续锻炼 下一场也许就会输
S1 EP05：無敵の奴隷のくせに　面白くねえヤツだな　|　都是无敌的奴隶了 真是无聊的家伙
S1 EP05：私は生きていたいのか　|　我想活着吗
S1 EP05：このまま生きていたとして　なんの意味がある　|　就算这样活着 又有什么意义呢
S1 EP05：生に執着しているわけではない　|　我并不执着于活着
S1 EP05：ただ…　|　只是…
S1 EP05：死にたくはない　|　不想死
S1 EP05：出ろ　お前も戦え　|　出来 你也来战斗
S1 EP05：何があったんですか　|　发生什么事了
S1 EP05：魔王だ　本物の魔王の軍勢だ　|　魔王 真正魔王的军队来了
S1 EP05：クソ　もうこんなに　|　可恶 已经这样了
S1 EP05：なるほど　|　原来如此
S1 EP05：殺すか　死ぬか　|　要么杀 要么死
S1 EP05：今まで何人も殺してきた　|　至今我已杀死很多人
S1 EP05：今さら　この程度の敵に殺されるわけにはいかない　|　现在可不能被这种程度的敌人杀了
S1 EP05：そうか　これが誇りというものか　|　这样啊 这就是自豪吗
S1 EP05：発見された時　こいつは魔王軍を殺していたんだと　|　被人发现时 这家伙已经屠杀了魔王军
S1 EP05：あの魔王軍のただ中に突っ込んでいこうと考えたヤツなんて　他に聞いたことがない　|　真不知道还有谁 会冲进那魔王军的中心
S1 EP05：タレンちゃん　|　塔莲
S1 EP05：今日はまた随分妙な連中が増えたね　|　今天又多了些奇怪的家伙呢
S1 EP05：貴様も名乗れ　ダカイ　|　你也做个自我介绍 达凯
S1 EP05：そっちの骸魔は槍使いか　|　那边的骸魔是使枪的吗
S1 EP05：音斬りシャルクだ　|　我是斩音夏鲁库
S1 EP05：根獣のほうは…　|　根兽的话…
S1 EP05：ちょっと何するのか予想がつかないな　|　就有点想不到是干什么的了
S1 EP05：そもそも　顔どこにあるか分かんないし　|　都看不出脸在哪
S1 EP05：海たるヒグアレと申します　|　我叫大海的希古尔雷
S1 EP05：よろしく　|　请多关照
S1 EP05：見たところ　普通のナイフか　|　看起来只是普通的刀
S1 EP05：体に何本か仕込んでるな　|　在身体里藏了好几把
S1 EP05：貴様と同じく信頼に足る強兵だ　|　他们跟你一样都是值得信赖的强者
S1 EP05：我々にも本物の魔王のごとく　|　我们也应该像真正魔王那样
S1 EP05：敵軍を畏怖させる個の力が必要だと考えている　|　拥有能让敌军畏惧的个体力量
S1 EP05：その自信はあるか　シャルク　|　你有这个自信吗 夏鲁库
S1 EP05：悪いが俺はヒグアレと違って傭兵だ　|　抱歉 我跟希古尔雷不同 是佣兵
S1 EP05：前払いの報酬を受け取るまで　働くのは流儀に反する　|　在收到预付的报酬之前工作 不合规矩
S1 EP05：分かってるよ　|　我知道的
S1 EP05：お前が求める報酬は　本物の魔王が死んだ「最後の地」の情報だろ　|　你想要的报酬 是真正魔王死时「最终之地」的情报吧
S1 EP05：まさか　そうやっていつも逃げてるわけじゃないよな　|　你该不会一直都是这样跑路的吧
S1 EP05：そっちこそ　|　你才是
S1 EP05：まさか死人ならタダ働きするとでも思ってるのか　|　不会觉得死人就能免费干活了吧
S1 EP05：いいね　|　不错
S1 EP05：口の減らないヤツは嫌いじゃない　|　我不讨厌嘴硬的家伙
S1 EP05：そっちのあんたは妙に静かだけど　|　那边那位倒是安静得出奇
S1 EP05：いつもは何を食ってるわけ　|　你平时都吃什么呢
S1 EP05：紅果は食べません　|　我不吃山楂
S1 EP05：力を見たいとのお申し付けであれば　|　如果是想见识一下力量的话
S1 EP05：今　見せましたが　|　已经给你看了
S1 EP05：見事だ　|　漂亮
S1 EP05：神業だな　|　神技啊
S1 EP05：根獣なら３本の腕を同時に使えるってことか　|　根兽可以同时用三根手吗
S1 EP05：いいえ　|　不对
S1 EP05：42本あります　|　是四十二根
S1 EP05：それは膨大な流血に研ぎ澄まされた　決闘の技を持つ　|　他拥有在庞大流血中锻炼出的决斗技
S1 EP05：それは生命である限り抵抗の能わぬ　絶対致死の毒を秘める　|　他暗藏一切生命都无法抵抗的绝对致死之毒
S1 EP05：それは異形の肉体にて極めた　常軌を逸する無量の剣閃を誇る　|　他掌握异形躯体磨练而出的 超越常识的无量剑闪
S1 EP05：すべてに従いながら　何者にも支配されることのない　|　他是顺从一切却不被任何人支配的
S1 EP05：最も自在なる奴隷である　|　最自由的奴隶
S1 EP05：剣奴　根獣　海たるヒグアレ　|　剑奴 根兽 大海的希古尔雷
S1 EP05：さすがに大荷物は足が遅いな　|　果然带大件货物走得很慢啊
S1 EP05：到着まで３日半ってところか　|　估计还要三天半才能到吧
S1 EP05：クゼ　隊の全員分の寝床はあるのか　|　库瑟 有够全队人用的床铺吗
S1 EP05：ベッドだけなら　教団の救貧院に空室が　|　只是床的话 教团的救济院里有空房
S1 EP05：食事については…　|　至于食物…
S1 EP05：俺の兵が教団に飯をたかるなんて情けないまねするか　|　我的士兵怎么可能做出向教团要饭这种丢人的行为
S1 EP05：お前　教団の始末屋って話だが　|　听说你是教团的杀手
S1 EP05：本当に強いんだろうな　|　真有那么强吗
S1 EP05：もちろんですとも　|　当然
S1 EP05：俺には天使がついてますからね　|　毕竟天使与我同在
S1 EP05：クゼ先生　何年ぶりですか　|　库瑟老师 几年没见了啊
S1 EP05：ただいま　リペルちゃん　|　我回来了 利佩尔
S1 EP05：お客さんが多くてさ　迷惑かけるね　|　客人太多 要给你添麻烦了
S1 EP05：こんばんは　|　晚上好
S1 EP05：はじめまして　|　初次见面
S1 EP05：えっと　リペルちゃんかな　|　是叫利佩尔吧
S1 EP05：はい　二つ目の名は霜葉のリペル　|　是的 别称是霜叶利佩尔
S1 EP05：あの　あなたは？　|　你是？
S1 EP05：濫回凌轢ニヒロ　|　滥回凌轹霓悉洛
S1 EP05：クゼさんに護衛してもらっているよ　|　是库瑟先生现在护卫的对象
S1 EP05：護衛って…　|　护卫是…
S1 EP05：こんな女の子を？　|　这样的女孩？
S1 EP05：いやいや　本当だって　|　哎呀 是真的
S1 EP05：分かってますよ　|　我知道啦
S1 EP05：クゼ先生そういう話とは縁がなかったですから　|　因为库瑟老师和那种事无缘嘛
S1 EP05：分かってもらえて悲しいねえ　ホント　|　你这么清楚还挺让我难过的
S1 EP05：私　着替えてきますね　|　我去换件衣服
S1 EP05：いい子だね　|　真是个好孩子
S1 EP05：私の体について聞かなかった　|　没有问关于我身体的事呢
S1 EP05：囚人扱いだったってことは聞いてる　|　我听说你被当囚犯对待
S1 EP05：出られたのは罪を償ったからか　|　能出来是因为罪赎清了吗
S1 EP05：違う　|　不是
S1 EP05：釈放の代わりに　ヒドウを助けてあげる約束をしただけさ　|　只是以被释放为交换 我答应会帮西多勿
S1 EP05：じゃあ　その約束がなかったとしたらどうだい　|　那如果没这个约定你会怎么做
S1 EP05：どうだろうね　|　谁知道呢
S1 EP05：やっぱり戦ってたんじゃないかな　|　应该还是会战斗吧
S1 EP05：戦うために作られたし　|　毕竟我是为战斗而制造的
S1 EP05：クゼはどうなんだい　|　你呢
S1 EP05：俺は柄じゃないな　|　我不是那种人
S1 EP05：君は武器を持っていないんだろう　|　你没有拿武器吧
S1 EP05：誰かを傷つけるのを怖がってるように見える　|　看起来似乎很害怕伤害别人
S1 EP05：か弱いおじさんをあまりいじめないでくれ　|　别太欺负柔弱的大叔啊
S1 EP05：君だって私と同じように　|　你和我一样
S1 EP05：本物の魔王の時代を生き残ったんだよね　|　都是从真正魔王的时代幸存下来的吧
S1 EP05：そんなのなんの自慢にもならないさ　|　这种事没什么好吹嘘的
S1 EP05：俺には天使がついてる　|　天使与我同在
S1 EP05：だから死ななかった　それだけだ　|　所以我没死 仅此而已
S1 EP05：すごい　|　好棒
S1 EP05：羊乳が入ってる　|　还加了羊奶
S1 EP05：クゼ先生が来たからだって　|　因为库瑟老师来了
S1 EP05：静かに　|　安静点
S1 EP05：ごちそうも暴れてどこかに行っちゃいますよ　|　不然饭菜也会生气逃走哦
S1 EP05：ごめんなさい　余計な気遣いまで　|　对不起 让你们费心了
S1 EP05：いいよ　いいよ　|　没关系
S1 EP05：今はどこの教会も助け合いさ　|　现在每个教会都互相帮助嘛
S1 EP05：突然の話だったのに　よく商人さんたちの部屋も準備できたね　|　明明是突然来访 亏你们连商人的房间也能准备好
S1 EP05：少し前に黄都の部隊の方がここに宿営したことがあって　|　不久前还有黄都的部队在这里留宿过
S1 EP05：黄都の？　|　黄都的？
S1 EP05：今日の商人さんたちは黄都の兵士と違って礼儀正しいし　|　今天的商人们和黄都的士兵不同 都很有礼貌
S1 EP05：逆に助かってるくらい　|　反而是省事了
S1 EP05：その部隊はどうしてここに　|　那个部队为什么会来这里
S1 EP05：黄都二十九官　第六将　ハルゲント様の部隊が　|　是黄都二十九官 第六将 哈鲁甘特大人的部队
