EP1 IN
EP1：よっ　鬼殺し　|　哟 杀鬼人
EP2：我々の感覚は鋭敏です　|　我们的感官非常敏锐
EP2：寝込みを襲ったとしたら　|　就算想要趁熟睡发起攻击
EP2：気配を消すことのできるハンターの仕業ということになります　|　恐怕也只有能消除自身气息的猎人才能做到
EP2：聖水はどうです　|　圣水呢
EP2：殺害後に撒かれたもんでしょうか　|　是凶手杀害夫人后洒下的吗
EP2：だろうな　|　应该是
EP2：ゴダール卿　死体の手や足に傷はありましたか　|　戈达尔勋爵 尸体手脚是否存在伤口
EP2：いえ　手足は綺麗でした　|　不 手脚没有任何伤痕
EP2：死亡から時間が経てば吸血鬼の細胞は力を失うから　|　死亡之后 吸血鬼的细胞会逐渐失去力量
EP2：聖水をかけても火傷を負うことはない　|　洒上圣水也不会被烧伤
EP2：したがって撒かれたのは死亡直後だと言える　|　可见 凶手是杀死夫人后立刻洒上圣水
EP2：遺留品はそのまま残っているようですね　|　凶手并没有带走剩余物品
EP2：津軽　瓶を拾ってみせろ　|　津轻 把瓶子捡起来
EP2：ごくごく普通の瓶ですね　ガラスが埃で汚れてます　|　就是那种司空见惯的瓶子 玻璃上粘着灰尘
EP2：袖でこすってみる　|　用袖子擦一下试试
EP2：はいな　|　遵命
EP2：汚れは落ちたか　|　污迹被擦掉了吗
EP2：だらだら続く小話みたいなもんです　|　就像絮絮叨叨的小笑话一样
EP2：なんだって　|　什么意思
EP2：一向に落ちません　|　完全没擦掉
EP2：いちいちうまいことを言わんでいい　|　不用总是花言巧语
EP2：蓋の方を見せてくれ　|　让我看看盖子
EP2：わずかだが血がついてるな　|　有一点血粘在上面
EP2：犯人は殺害後この瓶に触れたようだ　|　凶手在杀人后触摸了这个瓶子
EP2：置け　|　放下吧
EP2：倉庫にあった銀の杭はハンターから回収したものだそうですが　|　据说仓库里的银桩是从猎人处回收的
EP2：杭はケースなどに入っていましたか　|　桩子有放在箱子里吗
EP2：いえ　そのまま手に構えていました　|　没有 他是直接拿在手上的
EP2：あなた方は銀や聖水に触れると火傷してしまうとのことですが　|　我听说你们吸血鬼接触银或圣水会被烧伤
EP2：それを回避する方法はありますか　|　有什么办法可以避免吗
EP2：例えば銀製品に布を巻くなど　|　比如用布包裹银制品
EP2：防げるとは思いますが　|　这样应该可以避免
EP2：進んで銀に触れようとは思いませんね　|　不过我们不会主动去触碰银
EP2：杭に手を近づけただけで　|　只是将手靠近银桩
EP2：火傷しそうになりました　|　就会有一种灼烧感
EP2：その火傷には吸血鬼の再生能力は　|　对于这类烧伤 吸血鬼的再生能力
EP2：当然効きません　|　当然不管用
EP2：軽いものでも治るまで一週間はかかります　|　即便是轻微的烧伤 也得花一周恢复
EP2：ですからハンターからの回収作業はアルフレッドにやらせました　|　所以我都是让阿尔弗雷德去从猎人那儿回收
EP2：倉庫の鍵を持っていたのは　|　谁有仓库的钥匙呢
EP2：私とアルフレッドだけです　|　只有我和阿尔弗雷德
EP2：なるほど　|　这样啊
EP2：ありがとうございます　|　感谢您的回答
EP2：あの　それで何かわかったのですか　|　你知道什么了吗
EP2：どうしても納得できないことがあります　|　有件事我怎么都想不通
EP2：それはこの犯行の流れです　|　就是这起犯罪的过程
EP2：確かにこの事件は犯人が城の外からやってきたように見えます　|　犯人看起来好像是从城堡外面闯进来的
EP2：ですがそうだと仮定した場合　疑問がいくつか生じるんです　|　但这个假设又有很多可疑的点
EP2：全部で7つ　|　一共七个
EP2：7つも？　|　有七个之多？
EP2：津軽　指を立てろ　|　津轻 把手指竖起来
EP2：はいな　|　遵命
EP2：まず一つ目　|　第一
EP2：なぜハンナさんが起きた様子がないのか　|　为什么汉娜夫人一直熟睡
EP2：人の数倍音や匂いに敏感だったわけですから　|　既然吸血鬼的感官比人类灵敏数倍
EP2：襲撃者に気づかなかったというのは妙です　|　那为什么没有察觉到犯人呢
EP2：二つ目　|　第二
EP2：なぜ犯人はわざわざ夜中に侵入したのか　|　犯人为什么要在晚上动手呢
EP2：吸血鬼が日中に力が弱まるなんてことは子供でも知ってる常識です　|　众所周知吸血鬼在白天力量更弱
EP2：昼の間は戸締まりを徹底していますから　諦めたのでしょう　|　我想是因为城堡白天大门紧锁吧
EP2：倉庫の南京錠はねじ切ることができたのに　|　可仓库的挂锁不是都被扭断了吗
EP2：三つ目　|　第三
EP2：なぜ犯人は聖水を入れていた瓶を現場に置いていったのか　|　犯人为什么要把圣水瓶留在现场
EP2：あのコートは返り血を防ぐのに使ったのでしょう　|　那件外套应该是用来防止血溅到身上的
EP2：けれど瓶は荷物になるものでもないし　置いていくのは不自然です　|　可是瓶子又不大 留在这里就很奇怪
EP2：四つ目　|　第四
EP2：なぜ犯人は倉庫の中に銀の杭があると知っていたのか　|　犯人怎么知道仓库里有银桩
EP2：加えてハンナさんのいる部屋や　|　又怎么知道汉娜夫人的房间
EP2：うたた寝のタイミングを正確に当てることができたのも納得がいきません　|　以及她打盹儿的时间呢 我实在想不通
EP2：五つ目　|　第五
EP2：なぜ犯人は一度刺した銀の杭を抜いた上　元の倉庫に戻していったのか　|　犯人为什么要把银桩拔出来放回仓库呢
EP2：さて　最も注目したいのは六つ目の疑問ですが　|　然后是最重要的第六点
EP2：師匠　困りました　|　师父 麻烦了
EP2：もう立てる指がありません　|　我的手指都用完了
EP2：では舌でも出しておけ　|　那就把舌头伸出来
EP2：さて六つ目　|　第六
EP2：師匠　|　师父
EP2：なんだ　|　又怎么了
EP2：七つ目はどうしたらいいでしょう　|　第七又该怎么办
EP2：足でも上げておけ　|　把脚抬起来
EP2：輪堂さん　|　轮堂小姐
EP2：なんでしょう　|　怎么了
EP2：七には見えません　|　看不出是七
EP2：仕方ない　|　没办法
EP2：六つ目以降は改めて　|　第六第七稍后再说吧
EP2：シャル　|　夏洛
EP2：こちらは事件を調査しにいらした探偵さんで　|　这是来调查案件的侦探
EP2：シャル　|　夏洛
EP2：津軽　|　津轻
EP2：もういい　|　够了
EP2：#法国东部 吉夫勒
EP2：#狂浪之城
EP2：#「戈达尔勋爵夫人被杀害 犯人或为吸血鬼猎人」
EP2：#「发生在人类亲和派中的首起凶杀案」
EP2 OUT

EP3 IN
EP3：お味はいかがですか　|　味道如何
EP3：大変おいしいです　|　非常美味
EP3：生き血を出されたらどうしよう　|　我还想着如果端上鲜血
EP3：ばあさんの遺言で　|　就只能说奶奶有遗言
EP3：飲めないことにしとこうかなんて思ってましたが　|　不让自己喝血
EP3：やっぱり主食は血で？　|　你们果然以血为主食吗
EP3：そうですね　|　是的
EP3：こうして定期的に摂取しないと　|　如果不像这样定期摄取
EP3：どうしても体力が続きません　|　就无法维持体力
EP3：と言っても私たちはもう人の血は飲みませんが　|　不过我们已经不喝人血了
EP3：輪堂さん　あなたは食べなくてもよろしいのですか　|　轮堂小姐 你不吃东西没事吗
EP3：お気になさらず　|　不劳费心
EP3：私は食べたくても食べられないんです　|　我想吃也吃不了
EP3：最近太り気味でしてね　|　最近稍微有点胖了
EP3：師匠　よしてくださいよ　|　师父 别说了
EP3：パンが飛んじゃったじゃないですか　|　我面包都喷出来了
EP3：父さん　本当にこいつらに任せていいのか　|　父亲 交给这些家伙真的可行吗
EP3：ちょっと変わっているが　捜査自体は理路整然としていた　|　虽然人有点奇怪 但调查还是很条理清晰的
EP3：ちょっと変わってるどころじゃないだろ　|　这何止有点奇怪
EP3：僕もあんまり信用できないと思う　|　我也不太信任他们
EP3：この人たち　御者を詐欺にかけようとしてたし　|　而且这些人还想欺骗车夫
EP3：あの場にいたんですかい　|　当时你在场吗
EP3：まあね　|　嗯
EP3：馬車の音が聞こえたから　|　我听到马车的声音
EP3：探偵がどんな奴か見てみようと思って隠れてたんだよ　|　想看看侦探是什么样的人就偷偷躲在旁边
EP3：崩れかけた塔の上に　|　躲在快塌的塔上
EP3：見えてたの？　|　你看见了吗
EP3：吸血鬼みたいな奴だ　|　这家伙像吸血鬼一样
EP3：とにかく　有能な探偵だと私は思う　|　总之 我觉得他们是有才能的侦探
EP3：有能な探偵ね　|　有才能的侦探啊
EP3：どっちかっていうと安いペテン師に見えるけど　|　我倒是觉得他们像微不足道的骗子
EP3：そういえば　生首のお嬢さん　|　说起来 只剩头颅的小姐
EP3：さっきはどうしてナタリーのことが分かったんです？　|　你刚才怎么能看出娜塔莉的事
EP3：なぜ分かったかといえば　君の服を見れば分かる　|　要说怎么看出来的 其实是从你的衣服看出来的
EP3：ナタリーって？　|　娜塔莉是？
EP3：その首が言ってたんだ　|　那颗头颅说的
EP3：酒場通いを奥さんに怒られて禁酒中とか　|　因为酗酒被妻子责骂 禁酒一周
EP3：君のベスト　|　你的马甲
EP3：腹の部分が色あせて縫い目も粗くなっている　|　肚子的部分褪色了 线也磨损了
EP3：その部分だけ頻繁に汚して毎回奥さんがこすり洗いするからだ　|　这是因为那部分经常弄脏 每次你妻子都要搓洗
EP3：君はしょっちゅう服に料理をこぼす　|　你经常把食物洒到衣服上
EP3：大の大人がそんな真似をするのはひどく酔っている時だけ　|　一个大人只有在醉醺醺的时候才会这样
EP3：髭の手入れはずさんだが　着ているシャツの襟は綺麗だし　|　胡子修剪得很粗糙 但衬衫的领子很干净
EP3：ボタンを付け直した跡もある　|　纽扣也重新缝过
EP3：奥さんが毎回きちんとシワを伸ばして繕ってくれているからだ　|　说明妻子每次都认真帮你理平褶皱 缝补衣服
EP3：ベストを見るに　|　看你的马甲
EP3：最後に洗濯したのは一週間ほど前といったところだろうが　|　最近一次清洗应该是大约一周前
EP3：腹に新しい染みがついた様子はない　|　但腹部没有沾上新的污渍
EP3：つまり君はここ一週間酒を飲んでいない　|　也就是说你这一周都没有喝酒
EP3：なぜか　|　为什么
EP3：誰かに酒をやめるよう強く言われたんだ　|　是因为有人严令禁止你喝酒
EP3：夫が汚した服を洗い続けることにうんざりした几帳面な奥さんとか　|　例如厌烦了每次帮丈夫清洗脏衣服的一丝不苟的妻子
EP3：よく気のつくいい女性じゃないか　|　很细心的好女人
EP3：大事にしたまえ　|　好好珍惜
EP3：はい　|　嗯
EP3：すごいな　|　真是厉害
EP3：ロンドンの有名な探偵を思い出したよ　|　让我想起了伦敦的著名侦探
EP3：確かシャルル　いや　シェ…　|　好像是叫夏洛洛 不是 歇…
EP3：シャーロック・ホームズ　|　夏洛克·福尔摩斯
EP3：それだ　|　就是他
EP3：ホームズ氏と比べられるとは恐縮ですね　|　拿我和福尔摩斯先生比真是太抬举我了
EP3：私は彼ほど天才ではありませんよ　|　我可没有他那么天才
EP3：会ったことはあるのか　|　你见过他吗
EP3：いえ　直接会ったことはないです　|　不 没有直接见过他
EP3：できれば一生会いたくありませんね　|　最好一辈子也不要见到
EP3：変人だという噂だ　|　听说他是个怪人
EP3：さてゴダール卿　いくつか教えてほしいことが　|　戈达尔勋爵 有些事想要问您
EP3：何でしょう　|　什么事
EP3：ハンナさんが殺された夜のことです　|　关于汉娜夫人被害当晚的事
EP3：死体が発見されたのは１時半過ぎでしたね　|　尸体是一点半之后被发现的
EP3：その日も午前０時にこうして昼食を？　|　那天的零点你们也像这样吃了午餐吗
EP3：はい　城の者全員で　|　是的 城堡里所有人都在
EP3：食事はいつ頃終わりましたか　|　你们吃到了几点
EP3：０時半くらいだったでしょうか　|　大概吃到零点半吧
EP3：死体発見の１時間前ですね　|　那就是尸体被发现的一个小时前
EP3：彼女は食事が終わった後どこで何を　|　夫人吃完之后在何处做何事
EP3：いつも通り　部屋で少し休むと言っていました　|　和平时一样 她说要在房间里稍微休息一下
EP3：私は２階の書斎に行って　クロードと話していたので　|　我去了二楼的书房 和克劳德聊了会天
EP3：どなたか昼食以降にハンナさんと会った方は？　|　有人在午餐之后见过汉娜夫人吗
EP3：昼食後はクロード君と一緒にいたのですね　|　午餐后您和克劳德在一起对吧
EP3：ええ　街の運営について少し話を　|　是的 我们聊了聊城镇的运营
EP3：シャルロッテもくっついてきて　人形で遊んでいました　|　夏洛特也跟着 在一边玩人偶
EP3：その後は１時になったので　二人と一緒に書斎を出て　|　之后到了一点 我和他们一起离开书房
EP3：玄関ホールの前で別れました　|　在门厅前分开了
EP3：月曜のその時間は狩りに出る習慣なんです　|　星期一的那个时间我有出门狩猎的习惯
EP3：倉庫から銃を取って　|　我从仓库拿了枪
EP3：その時の倉庫内には何も異常はありませんでした　|　当时仓库内没有任何异常
EP3：じゃ　凶器が持ち出されて奥さんが襲われたのは　|　那凶手拿走凶器袭击夫人
EP3：それ以降ってことですね　|　就是这之后的事了
EP3：おそらくな　|　应该是
EP3：城の外に出ると　１分もしないうちに　|　我刚走出城堡还没到一分钟
EP3：植物を見に行くと言って　ラウールがついてきました　|　拉乌尔就说要去看植物 跟着我一起走了
EP3：森の中ではずっと一緒でした　|　在森林中我们一直在一起
EP3：銃は３発撃ったのですが　全く当たらず　|　我开了三发枪 但是都没打中
EP3：なんだ　あれ当たらなかったのか　|　什么 原来没打中吗
EP3：というと？　|　你的意思是？
EP3：いや　森の奥の方から銃声が３発聞こえたからさ　|　没 因为我听到森林深处传来了三声枪响
EP3：森の奥の方から　|　森林深处
EP3：それは興味深い　|　这就有意思了
EP3：ところで君はゴダール卿と別れた後は…　|　话说你和戈达尔勋爵分开后…
EP3：自分の部屋に戻って１人でいたよ　|　我回到了自己的房间一人独处
EP3：シャルはジゼルに押しつけた　|　我把夏洛塞给了吉赛尔
EP3：歌歌ってってうるさかったから　|　因为她非要让我唱歌实在太烦了
EP3：結構　では次　|　好的 那么下一位
EP3：ラウール君　|　拉乌尔
EP3：昼食を終えてから狩りまでの30分間はどこで何を　|　你在午餐后到狩猎前的三十分钟里 在何处做何事
EP3：どうしてそんなこと聞くわけ　|　为什么要问这个
EP3：それってつまり僕らを疑ってるってことだろ　|　你是在怀疑我们吧
EP3：輪堂さん　|　轮堂小姐
EP3：まさか私たちの中にハンナを殺した者がいると？　|　难道你觉得杀死汉娜的凶手在我们之中？
EP3：私はそう考えています　|　我是这么认为的
EP3：まさか　そんなバカなことが　|　怎么可能 这太荒谬了
EP3：さあラウール君　教えてもらいましょうか　|　拉乌尔 能告诉我吗
EP3：答えられないなら相応の理由があると判断しますが　|　如果不能回答那我只能判断为你有难言之隐
EP3：兄さんと逆だよ　|　我和哥哥相反
EP3：１時までは自分の部屋にいた　|　一点之前我都在自己的房间
EP3：でも事件のあった時間はずっと父さんと一緒にいたんだから　|　但是案件发生的时候我都和父亲在一起
EP3：僕は犯人じゃない　|　我不是犯人
EP3：しかし　ゴダール卿が倉庫を確認してから君が城を出るまでは　|　但是 从戈达尔勋爵确认完仓库到你离开城堡
EP3：わずかにタイムラグがある　|　有一段短暂的时间差
EP3：吸血鬼がいくら素早くても　|　不管吸血鬼有多么身手敏捷
EP3：１分で殺人はできないよ　|　也做不到在一分钟内杀人
EP3：ところで部屋にいる間　何か物音に気づいたりは？　|　那么 你在房间里有听到什么声音吗
EP3：いや　何も　|　什么都没听到
EP3：そうですか　どうもありがとう　|　这样啊 谢谢你的配合
EP3：では次　ジゼルさん　|　下一位 吉赛尔小姐
EP3：何でしょう　|　请问有什么事
EP3：あなたは０時半に昼食が終わった後どこで何を　|　你在零点半吃完午餐后在何处做何事
EP3：私は厨房の後片付けをして　|　我在厨房收拾
EP3：１時には洗濯部屋に行って　|　一点去了洗衣房
EP3：毎日そうするんです　|　每天都是这样
EP3：その途中でお二人と会って　|　在途中遇到了两位
EP3：シャル様は退屈そうにしてらしたので　|　因为夏洛小姐看上去很无聊
EP3：洗濯をしながら歌を歌って差し上げていました　|　我就边洗衣服边唱歌给她听
EP3：ではあなたは１時から事件発覚までずっとお嬢さんと一緒にいたのですか　|　那么你从一点到尸体被发现一直都和小姐在一起吗
EP3：確か私は一回だけお手洗いに行きましたけど　|　我记得有去过一趟厕所
EP3：でも一二分だけです　|　不过只花了一两分钟
EP3：それ以外はお嬢様と　|　除此之外都和小姐在一起
EP3：なるほど　|　原来如此
EP3：シャルロッテ嬢　それは本当かな　|　夏洛特小姐 她说的是真的吗
EP3：よろしい　ありがとう　|　很好 谢谢你
EP3：では最後　アルフレッド氏　|　最后 阿尔弗雷德先生
EP3：あなたは食事の後どこで何を？　|　用餐之后你在何处做何事
EP3：地下の執務室に行って　|　我去了地下的工作室
EP3：旦那様の予定の調整を行っておりました　|　调整老爷的预定行程
EP3：その他は何も　|　除此之外什么都没做
EP3：ということはずっと一人でいたわけだ　|　也就是说你一直一个人
EP3：さようでございます　|　是的
EP3：部屋にいる間　何か物音を聞きましたか　|　你在房间里有听到什么声音吗
EP3：いえ　全く　|　完全没有
EP3：どうもありがとうございました　|　感谢你的配合
EP3：さてそうなると　１時以降にアリバイのなかった者は二人に絞られますね　|　这样说来一点之后没有不在场证明的人只有两位
EP3：アルフレッド氏とクロード君　|　阿尔弗雷德先生与克劳德
EP3：滅相もございません　|　这太荒唐了
EP3：勘弁してくれよ　|　饶了我吧
EP3：輪堂さん　クロードが母親を殺すことなどあるわけがない　|　轮堂小姐 克劳德不可能杀害自己的母亲
EP3：それにアルフレッドだって　ハンターのような他の人間とは違う　|　而且阿尔弗雷德也是 他和猎人那样的人类不同
EP3：ゴダール卿　私は先ほど説明したはずですが　|　戈达尔勋爵 我先前应该已经说明过
EP3：この事件　外部からの襲撃と結論付けるには　|　如果这个案件是外部入侵
EP3：納得いかない点が多すぎるんです　|　不合理的地方实在太多了
EP3：それは…　|　这…
EP3：しかしだからといって　|　但即便如此
EP3：シャルロッテ様　|　夏洛特小姐
EP3：ごちそうさま　|　多谢款待
EP3：獣の血でもああやって皿に盛り付けりゃあ　|　把野兽的血像那样用盘子装着
EP3：なんだか高い料理みたいに思えてくるから不思議なもんです　|　就感觉像是高级料理一样了 真是不可思议
EP3：血は水よりもタイって申しますし　実は味がいいのかもしれません　|　听说血厚于水 说不定血的味道还不错
EP3：それを言うなら濃いだろう　|　你想说的是「浓」吧
EP3：鯉？鯉じゃあまりいただけません　|　鲤鱼？我不太吃得了鲤鱼
EP3：なんせ生臭いから　|　因为它太腥了
EP3：お前と根問いものを始めるとキリがないな　|　跟你刨根究底起来真是没完没了
EP3：静句　何か言ってやれ　|　静句 你来说点什么
EP3：鯉の餌になって死んでください　|　请你变成鲤鱼的饵料死掉吧
EP3：冷たい　そしてつれない　|　好冷漠 而且好无情
EP3：ところで師匠　捜査の進展はいかがです　|　话说师父 搜查的进展如何
EP3：事実に基づき論理的推理を進めた結果　|　根据事实进行逻辑推理之后
EP3：二つの矛盾した条件がぶつかり合っており　|　有两个矛盾的条件发生冲突
EP3：目下検討中だ　|　目前还在研究中
EP3：よく分かりませんが　|　不太明白
EP3：そう　よく分からないということだ　|　没错 就是还不太明白的意思
EP3：よく分かってるじゃないか　|　你这不是很明白嘛
EP3：でもさっきあんな得意げに喋ってたのに　|　可是你刚才明明说得那么得意
EP3：ほとんど時間稼ぎだ　|　基本上是为了争取时间
EP3：とりあえず　静句　|　总之 静句
EP3：はい　鴉夜様　|　是 鸦夜小姐
EP3：お前は使用人二人を見張ってくれ　|　你去监视那两名佣人
EP3：万が一の時は足止めしろ　|　出现特殊情况时拦住他们
EP3：かしこまりました　|　我明白了
EP3：使用人が犯人ですか　|　佣人是犯人吗
EP3：第一第二候補といったところだな　|　现在算是第一第二嫌疑人吧
EP3：何せ他の者では犯行が難しい　|　毕竟其他人太难犯案了
EP3：ゴダール卿もクロードも　|　无论是戈达尔勋爵还是克劳德
EP3：俺がなんだって　|　我怎么了
EP3：こりゃどうも　|　你好啊
EP3：コマンタレヴ　|　你好吗
EP3：探偵　俺は母さんを殺してない　|　侦探 我没有杀母亲
EP3：あんたらは無駄骨を折ってる　|　你们这是在白费心思
EP3：あいにく体は痛くありませんが　|　真不巧我没有心
EP3：じゃあ　|　那
EP3：これから折るのかもな　|　他的心可能就要废了
EP3：親父は宣誓書にサインしたが　|　虽然父亲在宣誓书上签了字
EP3：俺は吸血鬼をやめたわけじゃない　|　但不意味着我放弃做吸血鬼了
EP3：あんたの首をへし折るなんて簡単にできるんだぞ　|　我可以轻而易举地拧断你的脖子
EP3：肝に銘じておきましょう　|　我会铭记于心
EP3：師匠　ご無事で　|　师父 你没事吧
EP3：脅されたな　|　被威胁了呢
EP3：脅されましたね　|　被威胁了啊
EP3：彼犯人でしょうか　|　他就是犯人吗
EP3：そう決めつけられれば世話はないんだが　|　要是能这样确定那就省事了
EP3：手が綺麗だったからな　|　他手上没有伤痕
EP3：食事中　私は吸血鬼たちの手元にずっと注目していた　|　用餐时 我一直在观察吸血鬼们的手
EP3：だが全員手は綺麗で傷一つなかった　|　但是所有人的手部都不见伤痕
EP3：するってとどうなります　|　那接下来该怎么办
EP3：ひとまずあれを探すとするか　|　先去找那个吧
EP3：座りませんか　|　你不坐吗
EP3：いえ　お構いなく　|　不劳费心
EP3：使用人歴は長いんですか　|　你做佣人很久了吗
EP3：生まれた時からです　|　从出生起就是了
EP3：それは大変ですね　|　那还真是辛苦呢
EP3：私にはあなた方の方が大変に思えます　|　在我看来 还是两位比较辛苦
EP3：確かに夜ばかりの生活は少し辛いですが　|　一直在夜晚生活确实有点吃不消
EP3：まあ二十年も続けていれば慣れてしまいますね　|　不过二十年过来 我也习惯了
EP3：私はまだ慣れません　|　我还没完全习惯
EP3：獣から血を抜くのは得意になりましたけど　|　不过越来越擅长给野兽放血了
EP3：この家だけで磨かれる特技だね　|　在这里才能锻炼的特殊技能呢
EP3：もう１時か　|　已经一点了吗
EP3：書斎へ行かないと　|　我要去书房了
EP3：ダメです　|　不行
EP3：ここにいてください　|　请留在这里
EP3：あなた方と一緒にいるよう申し付けられています　|　小姐吩咐我要和你们待在一起
EP3：でも　旦那様と仕事の予定が　|　可是 我还要和老爷一起工作
EP3：旦那様でしたら　先ほど真打さんと西の森へ行かれましたよ　|　老爷的话 刚才和真打先生一起去了西边的森林
EP3：何をしに　|　去那干嘛
EP3：さあ　真打さんは探し物をすると言って笑ってらっしゃいましたけど　|　真打先生只是笑着说要去找什么东西
EP3：何なんだあの男は　|　那个男人到底在搞什么
EP3：すみません　ついご主人の悪口を　|　非常抱歉 冒犯你的主人了
EP3：いえ　お構いなく　|　不必道歉
EP3：私はあのような最低屑のエセ噺家野郎には仕えておりませんので　|　那种最差劲的骗子艺人混蛋并非是我侍奉的对象
EP3：私がお仕えしているのは輪堂鴉夜様ただ一人です　|　我侍奉的主人只有轮堂鸦夜小姐
EP3：どうした津軽　風邪か　|　怎么了津轻 感冒了吗
EP3：いえ　なんだか急に寒気が　|　没有 突然感到有股寒气
EP3：大丈夫ですか　|　你没事吧
EP3：このあたりの夜の気温は氷点下もざらですよ　|　这附近的夜晚气温降到零度以下也是常事
EP3：お構いなく　冬の函館に比べりゃあまだ暖かい方です　|　不必费心 和冬天的函馆相比这里还算暖和
EP3：函館？　|　函馆？
EP3：そういえば日本から来られたのでしたっけ　|　说起来 两位来自日本吧
EP3：それにしてはフランス語が堪能ですね　|　法语还真是流利呢
EP3：まあ　師匠に叩き込まれましたから　|　都是师父耳提面命
EP3：叩き込んでなどいない　私はお前を叩いたりできんからな　|　我可没有耳提面命 毕竟没法揪你的耳朵
EP3：おっと　こりゃ一本取られました　|　这还真是让人无话可说
EP3：輪堂さん　城の者の中に犯人はいませんよ　|　轮堂小姐 犯人不在城堡之中
EP3：あの殺し方はヴァンパイアハンターの手口です　|　那是吸血鬼猎人的杀人手法
EP3：もっと常識的な目を持って捜査を　|　还请你调查时多考虑常理
EP3：もちろん私は常識的に捜査をしていますよ　|　我当然是在考虑常理的情况下调查
EP3：当たり前のことだけを気にかけながら　|　而且只关注理所当然的事
EP3：ハンターに襲われた場所というのはまだ先ですね　|　您被猎人袭击的地点还在前面吧
EP3：急ぎましょう　|　加快脚步吧
EP3：にしても随分家族思いでらっしゃいますね　|　话说 您还真是为家人着想呢
EP3：私はこれ以上家族を失いたくない　それだけです　|　我只是不想再失去家人罢了
EP3：もう十分に失いましたから　|　我已经失去太多了
EP3：ハンナさんのことですか　|　是指汉娜夫人吗
EP3：私はこの町に来る前にも　三度家族を殺されているので　|　我在来到这座城市之前 曾三次遭遇家人被害
EP3：ところで　日本のお生まれならご存知ではないですか　|　对了 既然出身日本 两位可否有所耳闻
EP3：絶対に死なない怪物の話　|　有关绝对不会死的怪物
EP3：小耳に挟んだことがあります　|　我有一点耳闻
EP3：不死ですね　|　就是「不死」吧
EP3：不死というのですか　|　原来是叫做「不死」吗
EP3：そのまま日本語で不死身って意味です　|　在日语中就是不死之身的意思
EP3：世界にただ一匹　見た目は人間と同じでも　|　这世上仅有一只 虽然外表和人类无异
EP3：絶対死なないうえに老いもしないしやつれもしない　|　却绝对不死 亦不会憔悴衰老
EP3：ないない尽しの怪物だそうです　|　是颠覆常理的怪物
EP3：なんでも齢は千歳近いとか　|　据说已近千岁
EP3：私が父から聞いた話では　|　我曾听父亲说过
EP3：どんな傷を負っても立ちどころに再生するとのことでしたが　|　那怪物不管受什么伤都会立即恢复
EP3：らしいですね　羨ましいもんです　|　似乎是这样 真是令人羡慕
EP3：実を言うと不死を殺す方法は一つだけあるんです　|　其实有一个办法能够杀死不死
EP3：いや　一つというより一種と言うべきでしょうか　|　不 与其说是一个 不如说是一种
EP3：それは何ですか　|　那是什么
EP3：鬼です　|　是鬼
EP3：鬼？　|　鬼？
EP3：こちらの言葉ですとディアブルとかオーガということになりますかね　|　用你们的话来说 就是恶魔或者巨魔
EP3：日本では地獄の使者を意味します　|　在日本意指地狱的使者
EP3：鬼の細胞は全ての怪物に対して　|　鬼的细胞对所有怪物
EP3：絶対上位の攻撃力を持つことが分かっています　|　都具有绝对高级的攻击力
EP3：どんなに強い再生能力を持つ生物でも　|　不管是拥有多强再生能力的生物
EP3：鬼に傷つけられない種はない　|　都会受到鬼造成的伤害
EP3：鬼なら不死を殺せるわけです　|　因此 鬼能够杀死不死
EP3：なるほど　|　原来如此
EP3：しかし面白いことに　|　不过 有意思的是
EP3：鬼が最強の生物かというとそういうわけでもないんです　|　鬼并非是最强的生物
EP3：鬼は攻撃力にかけては最強でも守りが弱い　|　鬼拥有最强的攻击力 却拙于防御
EP3：銃弾や火薬の前にはあっけなく倒れます　|　子弹和火药就可以轻易将其杀死
EP3：それに何より知能が低い　|　最重要的是鬼智力低下
EP3：人間に狩りだされて怪奇一掃ですっかり滅びてしまいました　|　在人类发起的肃清怪奇中被彻底消灭了
EP3：今はまともな形で残っているのは一匹もいませんね　|　时至今日 完整的鬼恐怕已经不存在了吧
EP3：諸行無常です　|　真是世事无常
EP3：輪堂さん　|　轮堂小姐
EP3：それはひょっとして　|　难不成
EP3：あなたたちのことではないんですか　|　说的就是你们二位吧
EP3：不死と鬼　|　不死和鬼
EP3：師匠　バレました　|　师父 我们暴露了
EP3：あっさり認めるんじゃない　|　别这么干脆地承认
EP3：死んでないから生きている　|　「因为我没死 所以还活着」
EP3：あの一言で思い当たりました　|　那句话给了我提示
EP3：しかしなぜ首だけに　|　可是 为什么只剩下头颅
EP3：おや　闇討ちですね　|　哎呀 是夜袭呢
EP3：ランタンの明かりが強すぎたようです　|　看来提灯的光太亮了
EP3：私は自分から人を襲うことはしない　|　我不会主动袭击人类
EP3：しかし刃向かってくる者には恐怖を思い知らせます　|　但会让来犯之人感受恐惧
EP3：腐っても怪物の王ですから　|　不管怎样 我也是怪物之王
EP3：妻を殺したのはお前か　|　就是你杀了我妻子吗
EP3：まあいい　|　算了
EP3：報いを受けろ　|　这就是你的报应
EP3：ちょっと待った　|　等等
EP3：真打さん　|　真打先生
EP3：今こいつを殺します　|　我现在要杀了这家伙
EP3：後で正当防衛であることを証明してくださいませんか　|　能帮我证明这是正当防卫吗
EP3：お断りします　|　我拒绝
EP3：この男は殺させません　|　不能杀他
EP3：なぜです　|　为什么
EP3：私の命を狙ったのですよ　|　他可是想要我的命
