EP01 IN
EP01：「眠りから目覚めたら」　|　「从睡梦中醒来」
EP03：だから帰ったら足湯をしよう　|　所以回去后泡个脚吧
EP03：体が冷えるとろくな考えにならない　|　身体凉了的话无法好好思考
EP03：さっきからずっと鳴ってる　|　从刚才起就响个不停
EP03：例の友達じゃないの　|　是你之前那个朋友吗
EP03：既読付けないと反則なんじゃあないの　|　不给个已读是不是有点犯规了
EP03：君らは　|　你们之间
EP03：うるさいな　仕事してれば　|　烦死了 干你的活去
EP03：めんどくさいな　|　好麻烦
EP03：私だって仕事したいよ　全く　|　我也想干活啊 真是的
EP03：何それ　|　什么意思
EP03：お母さんはそんなの絶対言わなかった　|　我妈妈绝对不会说这种话
EP03：そらよござんした　|　真不愧是母女
EP03：あのね　私とあなたのけんかじゃないんだよ　|　我说啊 又不是我在和你吵
EP03：別にいいじゃん卒業式出なかったくらい　|　不参加毕业典礼也没什么大不了的
EP03：槙生ちゃんだって出なかったんじゃないの　|　小槙你不也没去吗
EP03：卒業式なんて意味ないとか言って　|　还说毕业典礼毫无意义
EP03：アウトローだし　|　简直法外狂徒
EP03：アウトローって　|　法外狂徒
EP03：いや出たよ卒業式は　|　没 我去了毕业典礼的
EP03：出たよな　|　去了的吧
EP03：出た出た　|　去了去了
EP03：出たか　|　去了吗
EP03：あんまり覚えてないけど　たぶん出た　|　虽然记不太清了但大概去了
EP03：覚えてないんじゃん　|　这不都不记得了吗
EP03：その程度だったってことでしょ　|　所以说也就这么回事咯
EP03：だから中学でしょ　|　那都是初中的事了
EP03：醍醐たちと焼き肉食べて帰ったのは覚えてるんだよな　|　我还记得跟醍醐她们一起吃完烤肉才回的家
EP03：10人くらいで　|　10个人左右
EP03：奈々ちゃんって中学のときから一緒なの　|　你跟小奈初中时就一起玩了吗
EP03：奈々ちゃんって？いつの間にそこまで仲よくなってんだ　|　小奈？你俩什么时候关系这么好了
EP03：中高一貫だったからね　|　因为是初高中同校
EP03：醍醐とはかれこれ23年のつきあい　|　我跟醍醐差不多有23年的交情
EP03：長っ　|　好长
EP03：そういやけんかしたことないな　あいつと　|　说起来 我跟她还没吵过架呢
EP03：１回も　|　一次都没吗
EP03：けんかっていうのは　|　吵架这东西
EP03：基本的に社交的な人間がするものでしょ　|　大抵只发生在喜欢社交的人身上
EP03：そう　|　是吗
EP03：あいつもああ見えて外向きではないからね本来　|　别看她那个样子 其实本不是个外向的人
EP03：使いこなしてんだよ　自分を　|　只是习惯了戴上面具
EP03：あいつなりに　|　按照她自己的方式
EP03：卒業式は別にいいよ　|　毕业典礼是无所谓啦
EP03：形式的なものだし　|　只是个形式罢了
EP03：あなたが後悔しなければ　|　只要你不后悔
EP03：全然しない　|　一点也不
EP03：そう　|　是吗
EP03：でも友達は　|　但是朋友的话
EP03：学生時代の友達が一生ものとは言わない　|　我不是说学生时代的朋友会好一辈子
EP03：大人になってからのほうが気の合う友達もできた　|　长大后我也有交到更合得来的朋友
EP03：でも醍醐みたいな　なんていうか　|　但是像醍醐那样的该怎么说呢
EP03：お互いを10代のころから知っている人間がいてくれることは　|　有一个互相从十几岁就认识的人
EP03：時々すごく必要だった　私には　|　有时候非常有必要 对我来说
EP03：朝　|　朝
EP03：替えが利かないって言うと聞こえが悪いか　|　无可替代 这么说会不会有点恶心
EP03：まあ　なんだ　|　但怎么说呢
EP03：こんなやつは他にいないとかね　|　再没有像她那样的人了
EP03：私の気持ちは私のものだって言ったじゃん　|　你不是说过 我的感受只属于我自己
EP03：尊重されていいでしょ　|　那你应该也能尊重吧
EP03：そうだけど　それがルールとは言ってないし　|　是这么说 但这又不是规定
EP03：人の言うことをうのみにしないで　|　别把别人的话当圣旨
EP03：矛盾　|　好矛盾
EP03：矛盾　矛盾　|　矛盾 矛盾
EP03：だから　あなたが何を見て　|　我是说 你要怎么想
EP03：何を思おうと自由だけど　それを外…　|　怎么理解都是你的自由 但是…
EP03：めんどくさ　|　好麻烦
EP03：まためんどくさいって言った　|　你又说我麻烦
EP03：いいもん別に　|　算了 就这样吧
EP03：高校でいっぱい友達できるもん　|　我要在高中交一大堆朋友
EP03：人見知りしないし　|　反正我不认生
EP03：そう　|　是嘛
EP03：なんでもいい　|　怎样都行
EP03：あなたが決めることだ　|　反正是你决定的事
EP03：卒業証書のこととかあるから　|　你还是得拿到毕业证什么的吧
EP03：一応学校には私から連絡しておく　|　我会帮你联系学校的
EP03：１日分しゃべった　|　一整天的话都说完了
EP03：靴下みたい　|　好像袜子
EP03：朝　見せたい物がある　|　朝 我想给你看个东西
EP03：卒業式の日にね　高校の　|　高中的毕业典礼那天
EP03：醍醐が手紙をくれたんだよね　|　醍醐给了我一封信
EP03：手紙っていってもノートの切れ端だけど　|　说是信 其实就是从本子上撕的一页纸
EP03：今もやる　ハート形に折ったりして　|　现在也有吗 折成心形之类
EP03：やるよ　|　有的
EP03：なんて書いてあったの　|　她写了什么
EP03：「６年間きみがいなかったら私は息ができなかった」　|　「这六年来 如果没有你的话 我都没法呼吸」
EP03：そう書いてあった　|　写了这句话
EP03：向こうは忘れてるかもしれないけど　|　可能她自己都忘了
EP03：槙生ちゃんはどう思った　|　小槙你当时是怎么想的
EP03：その手紙をもらって　|　收到那封信时
EP03：生きていていいんだと思ったよ　|　我想到活着也挺好的
EP03：大げさじゃなくね　|　一点也没夸张
EP03：よし　注文完了　|　下好单了
EP03：30分ぐらいだって　|　大概要30分钟
EP03：私ってさ　|　我呀
EP03：なんか朝といるときだけほんとの私っぽいんだよね　|　好像只有跟朝一起时才是真正的自己
EP03：朝　|　朝
EP03：朝　ごめん　|　朝 对不起
EP03：朝　|　朝
EP03：えみり　嫌いとか　|　绘美里 之前说讨厌你
EP03：ごめん　うそ　|　对不起 是乱说的
EP03：全然うそ　|　全都是我乱说的
EP03：今度お父さんとお母さんの話させて　|　下次还能跟你说我爸爸妈妈的事吗
EP03：私えみりにしか話せない　|　这些事我只能对你说了
EP03：ありがと　|　谢谢
EP03：これも固執と言うのだろうか　|　这是不是也算一种固执呢
EP03：めんどくさ　|　好麻烦
EP03：#快速回收大量二手家具！
EP03：#舍弃
EP03：#健康检查表
EP03：#下周
EP03：#樱花一(初)中 第五十七届 毕业典礼
EP03：#明天的毕业典礼来吗 完了我忘了 刚要把校服扔了 这么好笑 谢谢 明天典礼前能和我单独聊聊吗？ 我在鞋柜那等你 OK
EP03：#3月17日 星期五 15:28
EP03：#绘美里：未接电话 绘美里：真的对不起 绘美里：想和你当面说话 绘美里：你现在在哪？
EP03：#槙生：在和朋友喝茶吗？什么时候回来？
EP03：#朝：我想不起回去的路了
EP03：#持：谢谢
EP03：#醍醐：绝不绝？
EP03：#绝了
EP03：#持：干嘛呀 害得我在办公桌前发出了猪一般的笑声
EP03：#我想起来上学时醍醐在课堂上传的一张纸条也让我笑翻了
EP03：#琴子：我记得hhh
EP03：#醍醐：我的错…我的错…
EP03：#HAPPIZZA 每天 随时 开心
EP03：#让人开心的新菜单!!
EP03：#这六年来 如果没有你的话 我都没法呼吸  谢谢 今后也请多关照 醍醐
EP03：#绘美里 未接电话 未接电话 未接电话 未接电话 真的对不起 想和你当面说话 你现在在哪？ 老师也说要跟你道歉 我也会让妈妈跟你道歉 无论多少次都行 真的对不起 我真的很喜欢你 对不起我这么烦人 求求你了 不理我也没关系 给个已读就好
EP03 OUT

EP04 IN
EP04：やば　|　糟了
EP04：夕飯決めた　|　晚饭你怎么说
EP04：レトルトでいいかなって　|　我打算吃速食来着
EP04：それよりは肉とたまねぎとピーマンあるから　|　那冰箱里还有肉和洋葱和青椒
EP04：だめだ　遅れる　|　不行 要迟到了
EP04：レシピラインする　|　菜谱我LINE发你
EP04：いってらっしゃい　|　慢走
EP04：コトコ　髪　|　琴子 你这头发
EP04：ばっさりいっちゃった　|　直接全剪啦
EP04：あれ　箸落とした　|　咦 我把筷子弄掉了吗
EP04：早くね　|　这么快
EP04：お通しです　|　您的小菜
EP04：こぼれ　ないわ　|　要洒了 没洒
EP04：何それ　|　什么情况
EP04：もつ　あんた悪魔みたいなヒール履いてんね　|　持 你这是恶魔的高跟鞋吗
EP04：悪口？　|　这是坏话？
EP04：ほら　もうそろったよ　|　好啦 可以开吃了
EP04：じゃあ皆さん毎日お疲れさまです　|　大家辛苦了
EP04：乾杯　|　干杯
EP04：醍醐はもう会ったの　|　醍醐你已经见过了吗
EP04：会った会った　|　见过了见过了
EP04：かわいかった　|　很可爱哦
EP04：15歳　|　15岁
EP04：来週から高校　|　下周上高中
EP04：それで疲れてるんだ　|　所以你这么累啊
EP04：ていうか常に人がいるという時点でだいぶ　|　其实家里一直有人在就已经很累了
EP04：立場的には何　|　你现在算是什么
EP04：義母？　|　继母？
EP04：義母　|　继母
EP04：いや　未成年後見人？　|　不吧 法定监护人？
EP04：よくわかってない　|　我也不太懂
EP04：養子ってわけじゃないんだ　|　就是说你没收养她啊
EP04：そこまでの責任というか　つながりは　|　那种责任 羁绊的话
EP04：今日はどうしてんの　|　今天她怎么办
EP04：今は　|　她现在
EP04：ごはん食べてる　|　正在吃晚饭
EP04：いや　かわいい　|　哎呀 真可爱
EP04：ねえ　|　是啊
EP04：かわいいしいい子だし　|　是很可爱也是个好孩子
EP04：幼いところもあるけど　|　也有些幼稚的地方
EP04：あの人の子なのかと思うと体がすくむ　|　但一想到是那个人的孩子就会畏缩
EP04：それは愛せないってこと？　|　就是说你没法爱她？
EP04：槙生　|　槙生
EP04：あんたがだめだから言ってやってんの　|　都是因为你不对我才要教训你
EP04：あの子には関係ないし　|　和那孩子没有关系
EP04：公正に接してやるべきだとは思う　|　我觉得我应该公平的对待她
EP04：こっわ　|　可怕
EP04：焼き打ちじゃん　|　这不是纵火吗
EP04：焼かないよ　恨むだけ　|　不会烧啦 只是记恨而已
EP04：十分怖いよ　|　那也很吓人了
EP04：でも15のときを思い出すとさ　|　不过想想15岁那时候
EP04：よく大人になれたなって思わない　|　不觉得我们能长大成人真是了不起吗
EP04：結婚も離婚も経験なさって　|　连结婚离婚都经历过了
EP04：そう　想像できる　|　是啊 能想象得到吗
EP04：そんな自分　|　那样的自己
EP04：そうだ　こないだやった致命的なミスの話聞いて　|　对了 我前几天捅了个大篓子
EP04：またかよ　|　又来啊
EP04：聞かせて　|　和我说说
EP04：それがね　マジでやらかしちゃって　|　那可真是搞砸了
EP04：乾杯　|　干杯
EP04：どうも　笠町信吾と申します　|　你好 我是笠町信吾
EP04：これは大人　|　这就是大人
EP04：はい　これお土産　|　给 送你的
EP04：肉　|　是肉
EP04：紙に包んであるやつだ　|　还是用纸包着的高级货
EP04：すき焼き用　２人で食べてよ　|　寿喜锅用的 你们俩吃吧
EP04：食べていけばいいのに　|　你怎么不一起吃
EP04：夜までいるわけには　|　我总不能待到晚上吧
EP04：とりあえずなんか飲む　|　总之先喝点什么吧
EP04：コーヒーでいい　|　咖啡可以吗
EP04：仲よしだ　|　关系真好
EP04：手伝うよ　|　我来帮你
EP04：というかこの雰囲気　|　而且这气氛
EP04：これ　|　这个
EP04：その店おいしいよね　|　这家的真不错吧
EP04：間違いない恋人　|　绝对是恋人
EP04：あれ　|　什么
EP04：牛乳がない　|　牛奶没了
EP04：ごめん　|　抱歉
EP04：１リットルが１日で　|　一升一天就喝完了
EP04：若さだな　|　真是年轻啊
EP04：いい　買ってくる　|　没事 我去买
EP04：口がコーヒー牛乳の口になってんの　|　我已经只喝得下咖啡牛奶了
EP04：欲しい物あったら連絡して　|　有什么要买的就联络我
EP04：変な人でしょ　|　她很怪吧
EP04：はい　|　嗯
EP04：あの　|　那个
EP04：槙生ちゃんの彼氏ですか　|　你是小槙的男朋友吗
EP04：なるほど　|　原来如此
EP04：槙生さんとはだいぶタイプが違うようだな　|　看来你和槙生性格不太一样啊
EP04：違うよ　今は　|　不是的 现在不是
EP04：今は？　|　现在不是？
EP04：それ以前も以後も友達ではある　|　在那之前和之后我们都是朋友
EP04：でもわからん　|　但也不好说
EP04：今日と明日じゃ気持ちも変わるよ　|　可能什么时候又会变化的
EP04：じゃあなんで別れたんですか　|　那你们是为什么分手的
EP04：熱ちち　|　好烫好烫
EP04：大丈夫ですか　|　你没事吧
EP04：いや　大丈夫大丈夫　|　没事没事
EP04：あっちい　|　好烫
EP04：わかんないよ　|　你不懂
EP04：笠町君にはわかんない　|　笠町你根本不懂
EP04：俺が悪かったんだ　|　是我的问题
EP04：傲慢で　|　因为傲慢
EP04：いや　もうやめやめ　|　算了 打住打住
EP04：大人は君らが思うよりずっと繊細なんです　|　大人比你们想的更加敏感
EP04：ちなみに今日は君に挨拶しがてら　|　顺带一提今天是来和你打个招呼
EP04：彼女の様子を探りに来た　|　顺便看看她的情况
EP04：秘密だよ　|　别告诉她
EP04：大人　|　大人
EP04：そっか　高校は原則弁当か　|　这样啊 高中要自带便当啊
EP04：大変だな　|　很头痛吧
EP04：うん　|　嗯
EP04：アイス食べ過ぎた？　|　你冰淇淋吃多了？
EP04：そっちではない　|　不是这个痛
EP04：毎日購買で買うのもばかにならないし　|　每天在小卖部买午餐也是一笔不小的钱
EP04：俺も今時々弁当作ってんだよ　自分で　|　我最近偶尔也会自己做便当哦
EP04：タッパーに米と肉とブロッコリーを放り込むだけの　|　虽然只是在保鲜盒里放入米饭肉类和西蓝花的
EP04：原始的な弁当だけど　|　原始便当
EP04：いや　それでも偉いよ　|　没有 那也很厉害了
EP04：私タッパーはちょっと　|　我不太想要保鲜盒
EP04：そうだよな　|　也是啊
EP04：何入れてけばいいんだっけ　弁当って　|　便当里面该放些什么来着
EP04：うちの親が作る弁当は茶色オンリーだったな　|　我父母做的便当只会用茶色的食物
EP04：うまかったけど　|　虽然很好吃
EP04：茶色い弁当はちゃんとしてるんだってさ　|　他们说茶色的便当比较正经
EP04：うちもプチトマトは邪道扱いだった　|　我们家也把便当里放小番茄当成邪道
EP04：プライドがあったんだろうね　自分の作品に　|　是对自己的作品有一些坚持吧
EP04：確かに　|　确实
EP04：弁当日記までつけてたし　|　甚至还会写便当日记呢
EP04：きっと完璧な物を与えていたんだろうけど　|　肯定是想把最完美的东西给我吧
EP04：育てるってことと愛情ってやつが　|　但对我的父母来说
EP04：別のところにあったんだろうな　うちの親の場合　|　养育和爱可能是两件事吧
EP04：何が言いたいかっていうと　|　总而言之 我想说的是
EP04：あんまり気負いなさんなってことだ　|　没必要过度重视这件事
EP04：ありがと　|　谢谢
EP04：参考にする　|　我会注意的
EP04：槙生ちゃん弁当箱持ってる　|　小槙你有便当盒吗
EP04：ううん　|　没有
EP04：買わなきゃ　|　得买一个
EP04：槙生ちゃんか？新鮮だな　|　小槙？还真是新鲜啊
EP04：ちゃん付けされること他でないだろ　|　你没怎么被人这么叫过吧
EP04：まあね　|　是吧
EP04：そうなの　|　是吗
EP04：お母さんはいつもそう呼んでたよ　|　妈妈一直都是这么叫你的哦
EP04：槙生ちゃんは小説家なんだよって　|　「小槙是小说家哦」之类的
EP04：よく言ってた　|　她经常说
EP04：恥ずかしくないの　|　你都不害臊吗
EP04：妄想の世界なんかに浸って　|　沉浸在妄想的世界里
EP04：小説なんて　|　小说这种东西
EP04：あんたもう少し現実と向き合えば　|　你就不能稍微正视一下现实吗
EP04：何よ　|　怎么了
EP04：何か言うことはないの　|　你没什么想说的吗
EP04：槙生さん　|　槙生
EP04：大丈夫　|　没事吧
EP04：俺そろそろ　|　我差不多该走了
EP04：じゃあまた来るよ　|　那我会再来的
EP04：っていいのかそんなこと言って　|　我这么说是不是不合适
EP04：もちろん　はい　|　当然欢迎了
EP04：私の家なんですが　|　这可是我家
EP04：ねえ　笠町君ライン交換したい　|　笠町 我想跟你加个LINE
EP04：いいよ　|　可以哦
EP04：よし　いってきま　|　好 我出发了
EP04：ねえ　前にも言ったけど　|　那个 之前也和你讲过
EP04：開いてると読んでしまうから　閉じて日記は　|　翻开放着我不小心会看到 日记还是要合上
EP04：だからいいよ　読んで　|　我也说了 看到也没关系
EP04：意味がわからない　|　无法理解
EP04：じゃあいってきます　|　那我出发了
EP04：ねえ　ほんとにいいんだね　|　那个 真的没关系吗
EP04：私行かなくて　|　我不去的话
EP04：大丈夫　|　没关系
EP04：朝　|　朝
EP04：えみり　|　绘美里
EP04：おはよう　|　早上好
EP04：朝ちゃん　また３年間よろしくね　|　小朝 这三年又要拜托你了
EP04：はい　|　好
EP04：それと卒業式のときはごめんなさい　|　以及毕业典礼的时候真是抱歉
EP04：そうだよ　|　就是
EP04：もっと謝ってよ　お母さん　|　妈妈应该好好道个歉
EP04：ちゃんとご挨拶させていただきたいのだけど　|　我本想好好打个招呼的
EP04：叔母さんは　|　你姨妈呢
EP04：来ないです　|　她不来
EP04：おいでにならないの　入学式　|　她不来吗 入学典礼
EP04：はい　|　是的
EP04：あの　朝ちゃん　|　那个 小朝
EP04：言いにくいことがあったら　|　如果有什么难言之隐的话
EP04：おばさん代わりに言ってあげる　|　阿姨我可以帮你转达
EP04：だってこんなときに１人なんて変だと思う　|　因为这种情况下一个人总觉得有点怪
EP04：でも親じゃないし　|　但她又不是我父母
EP04：ほら行こう　朝　|　走吧 朝
EP04：明日からどこで待ち合わせる　|　明天开始在哪碰头
EP04：えっと　|　这个嘛
EP04：見て　あの子超かわいい　|　看 那人好可爱
EP04：話しかける？　|　上去搭个话？
EP04：えみり気合い入り過ぎだよ　|　绘美里你也太来劲了
EP04：化粧してるし　|　还化了妆
EP04：当然じゃん　|　那当然
EP04：高校デビューだよ　|　这可是高中出道
EP04：校則くそだったじゃん　中学　|　初中校规也太烂了吧
EP04：くそとか　|　烂吗
EP04：私あっちだ　|　我坐那
EP04：じゃあね朝　|　一会见 朝
EP04：高校デビューか　|　高中出道吗
EP04：田汲　|　田汲
EP04：吉村　|　吉村
EP04：うす　|　嗨
EP04：これ卒業式の記念品　|　这是毕业典礼的纪念品
EP04：なんか楢もテンパってたから　|　不知为何那时楢也很慌张
EP04：俺が預かってたんだ　|　就由我替你保管了
EP04：ありがとう　|　谢谢
EP04：卒業式ばっくれるとか　すげえなお前　|　居然翘了毕业典礼 你可真行
EP04：そう　|　有吗
EP04：まあなんだ　同じ中学だし頑張れ　|　那个怎么说 同一所初中来的 加油吧
EP04：俺も頑張る　|　我也会加油的
EP04：何それ　|　啥啊
EP04：桜第一の吉村？　|　樱花一中的吉村？
EP04：地区大会の　|　地区大会的
EP04：入んの　野球部　|　加入棒球部吗
EP04：もちろん　|　那当然
EP04：よっしゃ　|　好耶
EP04：３年間よろしく　|　这三年请多指教
EP04：よろしくね　|　请多指教
EP04：よろしく　曽根です　|　请多指教 我叫曾根
EP04：田汲朝です　|　我叫田汲朝
EP04：曽根さんって曽根何　|　曾根同学名字叫啥
EP04：飛鳥　曽根飛鳥です　|　飞鸟 叫曾根飞鸟
EP04：朝ちゃんと飛鳥ちゃんね　|　小朝和飞鸟啊
EP04：私神田ゆみ　|　我叫神田由美
EP04：カンって呼んで　|　叫我KAN就行了
EP04：すごい　|　好厉害
EP04：自分で描いたんですか　|　自己画的吗
EP04：人生２枚目の名刺　|　人生中收到的第二张名片
EP04：当たり前じゃん　|　那是自然
EP04：ごめん　狭いよね　|　抱歉 是不是很挤
EP04：ううん　よろしくね　|　没有 请多指教
EP04：東郷優斗です　|　我叫东乡优斗
EP04：柔道部？何cm　|　柔道部？你多高
EP04：サッカー　186　|　足球 186
EP04：続いて新入生による所信表明　|　接下来由新生发表入学宣言
EP04：うそ　|　真的吗
EP04：私もめっちゃ好き　|　我也很喜欢
EP04：入学者総代森本千世さん　|　新生总代表森本千世同学
EP04：はい　|　是
EP04：そりゃ親だって張り切るでしょ　|　那家长可不得兴奋吗
EP04：だって総代っすよ　|　那可是总代表
EP04：すごくないですか　|　也太厉害了吧
EP04：ですかって　|　厉害在哪
EP04：やめて　すごくないです　|　别说了 没什么大不了的
EP04：いいから黙って見ててほしいよね　|　真希望他们安静看着就好
EP04：うちも親が張り切ってて　|　我父母也很兴奋
EP04：飛鳥　|　飞鸟
EP04：すごく恥ずかしい　|　太羞耻了
EP04：どこもそんな感じか　|　大家都这样啊
EP04：うちは親が来てなくて　|　我父母都没来
EP04：ていうか事故で死んじゃって　|　其实是遭遇事故去世了
EP04：叔母さんと暮らしてるんだけど　|　我现在和姨妈一起生活
EP04：小説家で忙しいからさ　|　但她是小说家所以很忙
EP04：なんか映画みたい　|　怎么像电影一样
EP04：とか言っちゃだめか　|　这么说是不是不太好
EP04：ううん　|　没事
EP04：でもこれからお弁当とかが大変でさ　|　但之后做便当什么的要遭大罪了
EP04：すごい　自立してるね　|　厉害 好独立
EP04：やべえな　それに比べたら俺なんか猿だ　|　太强了 这么一比我就跟个猴子一样
EP04：猿って　|　猴子吗
EP04：自分でお弁当なら早起き大変そう　|　自己做便当的话早起好辛苦
EP04：あれ　|　咦
EP04：俺毎朝親に起こされる　|　我每天还要父母叫我起床
EP04：小学生じゃん　|　小学生吗
EP04：ポツーン　|　啊哦
EP04：入学式で注目されたくて失敗した　|　入学典礼想引人注目结果失败了
EP04：特別な日でしょ　|　今天是特殊的日子吧
EP04：手洗ってきて　|　手洗了再来
EP04：私ね　今日入学式でね　|　我呀 在今天的入学典礼上
EP04：それだけ　|　没别的了吗
EP04：ねえ　冷めちゃう　|　那个 要冷了
EP04：先食べていい　|　我可以先吃吗
EP04：手洗ってくる　|　我去洗个手
EP04：私の予想では　|　在我的预想中
EP04：やめなよ恥ずかしい　|　别吧 这也太羞耻了
EP04：そう　|　这样吗
EP04：まあ　しかたがないんじゃない　|　那也没办法
EP04：気にするな　|　别在意
EP04：次に気を付ければいい　|　下次注意就好
EP04：だったのに全部違った　|　本该是这样的 但是全错
EP04：朝　|　朝
EP04：それじゃ恥ずかしいわよ　|　这也太羞耻了
EP04：まあ　それはしかたがないわね　|　哎 那也没办法
EP04：いいの　次から気を付けなさい　|　没事 下次注意就好
EP04：あなた目立つのが好きなの　|　你喜欢引人注目吗
EP04：だってさっき　|　因为你刚才
EP04：わかんない　|　我也不知道
EP04：でもそう思うときもある　|　但有时候会这么想
EP04：いいじゃん別に　|　这不也挺好
EP04：いいの　|　可以吗
EP04：きちんと目立つって努力の上に成り立つことでしょ　|　要好好脱颖而出本就是靠努力才能换来吧
EP04：スポーツ選手とか俳優とか歌手とか　|　像运动员啊 演员 歌手这些
EP04：それだけ努力してるってことだから　|　他们都付出了相应的努力
EP04：意外　そういうの嫌いだと思ってた　|　好意外 我还以为你讨厌这种呢
EP04：何言ってんの　|　你说什么呢
EP04：私小説家だよ　|　我可是小说家
EP04：自分の妄想書き連ねて世間に垂れ流してんだよ　|　不断编织自己的幻想并让其在世间流通哦
EP04：言ってらんないですよ　そんなこと　|　我可说不出讨厌他们的话
EP04：でも私のことを話したって　|　不过就算说了我的事
EP04：あなたが目立ったことにはならない　|　也不会让你更加瞩目
EP04：私とあなたは別の人間だから　|　因为我和你是不同的两个人
EP04：歌を歌えば　|　要不唱歌呢
EP04：軽音部とか　|　轻音部这种啊
EP04：よく鼻歌歌ってるじゃん　|　你不是经常哼歌吗
EP04：バンドはお母さん嫌いだったし　|　我妈妈不喜欢乐队
EP04：また「へえ」って　|　又是这个反应
EP04：ちゃんと言ってよ　|　想说啥就说啊
EP04：いやだって　いいんだけどさあなたの人生だし　|　不是 我是觉得无所谓啦 毕竟是你的人生
EP04：でももういないじゃんお母さん　|　但是 你妈妈不是已经不在了吗
EP04：なんで　|　为什么
EP04：なんで槙生ちゃんはお母さんのことが嫌いなの　|　为什么小槙讨厌妈妈呢
EP04：あなたには話さない　|　我是不会跟你说的
EP04：子どもだから悪気がないから　|　不要以为自己是个孩子也没什么恶意
EP04：だから何を聞いてもいいとは思わない　|　就能想问什么就问什么
EP04：この話はあなたとはしない　|　我不会跟你聊这件事
EP04：ごめんなさい　|　对不起
EP04：ごめんなさい　|　对不起
EP04：怒ってはいない　|　我没有生气
EP04：仕事します　|　我去工作了
EP04：お邪魔してます　|　打扰了
EP04：初めまして　えみりです　|　你好 我是绘美里
EP04：卒業式にやり合った　|　是毕业典礼上吵起来的
EP04：高代槙生です　|　我是高代槙生
EP04：やり合ってない　|　没吵起来
EP04：友達を連れてくるのはかまわないけど　事前に言って　|　你带朋友回来是可以 但提前说一声啊
EP04：ラインしたけど　|　给你发消息了啊
EP04：事前というのは直前のことではないぞ　|　提前的意思可不是来之前
EP04：ごめんなさい　|　不好意思
EP04：じゃあまあ　ごゆっくり　|　算了 你们随意
EP04：ウケる　|　好好笑
EP04：よろしくとか言わないんだ　|　她也不客套客套啊
EP04：うちのお母さんなら絶対言うもん　|　我妈的话肯定要说的
EP04：「こんにちは　えみりをよろしくね」とか　|　「你好啊 绘美里麻烦你照顾啦」这些
EP04：似てる　|　太像了
EP04：田汲家はね「朝と仲よくしてね」　|　田汲家就是「麻烦跟朝好好相处哦」
EP04：似てる　|　太像了
EP04：でしょ　|　对吧
EP04：やばいな　|　不好
EP04：でさ学年主任っているじゃん　見た　|　不是有个年级主任吗 你看到了吗
EP04：ネクタイ短いよね　あの人　|　是那个领带很短的人吧
EP04：笑うんだけど　|　太搞笑了
EP04：あの　槙生さんって　|　那个 槙生阿姨
EP04：好きなお菓子ってあります　|　有什么喜欢的点心吗
EP04：なんかお母さんが偵察してこいって　|　我妈妈让我来打探
EP04：偵察ってばらしたらだめなんじゃないの　|　打探的话 应该不能暴露吧
EP04：お土産は　|　礼物的话
EP04：遠慮とかではなくないほうがありがたいです　|　不是我跟你客气 是最好别送
EP04：めんどくさいので　|　因为太麻烦了
EP04：めんどくさい　|　麻烦
EP04：槙生ちゃん変わってるから　|　小槙真的很奇怪
EP04：でもそれじゃお母さん納得しない　|　我妈妈肯定不能接受
EP04：言葉は悪いけど　そのまんまです　|　虽然不太好听 但就是这个意思
EP04：いいです　そのまま伝えてください　|　没事 直接告诉她原话就行
EP04：ほんとにそういうおつきあいが苦手だから　|　我真的很不擅长这种人情往来
EP04：仕事します　|　我去工作了
EP04：はい　|　嗯
EP04：小説家か　|　小说家啊
EP04：なんかすごいね　|　感觉好酷
EP04：でも仕事のことみんなに言っちゃだめって　|　但她不让把工作的事跟其他人说
EP04：変わってんね　|　真奇怪啊
EP04：ねえ　|　对吧
EP04：そうだ　Ｃ組に…　|　对了 C组…
EP04：あの　|　你好
EP04：ごめんなさい　邪魔して　|　对不起 打扰你了
EP04：なんですか　|　怎么了
EP04：帰ります　|　我要回去了
EP04：どうも　|　慢走
EP04：寝ちゃったんで朝　|　朝睡着了
EP04：急に　なんか爆睡　|　突然 睡死过去了
EP04：そう　|　是吗
EP04：また来ます　心配なんで　|　我下次再来 有点担心她
EP04：失礼します　|　我先走了
EP04：えみり　|　绘美里
EP04：槙生ちゃん　|　小槙
EP04：えっと　ごはんは　|　那个 饭呢
EP04：テーブルの上　|　在桌上
EP04：槙生ちゃんは　|　你呢
EP04：あとで　|　等下吃
EP04：いただきます　|　我开动了
EP04：でももういないじゃんお母さん　|　但是 你妈妈不是已经不在了吗
EP04：めんどくさいな　|　好麻烦
EP04：高円寺のグルメ　|　高圆寺的美食
EP04：あなたを愛せるかどうかもわからない　|　我不知道自己能不能变得爱你
EP04：姉が嫌いだったから　|　因为我讨厌姐姐
EP04：あなたには話さない　|　我是不会跟你说的
EP04：私はいつもあなたをおもんぱかってやることはできない　|　我没办法一直照顾你的感受
EP04：あなたのさみしさや焦りを理解してやることもできない　|　也无法理解你的孤独与焦虑
EP04：お母さんのことが嫌いだから　|　因为你讨厌我妈妈吗
EP04：違う　|　不是
EP04：私は人といるととても疲れるから　|　因为对我来说 跟人相处非常消耗精力
EP04：１人でないと仕事もできない　|　不独自一人的话甚至没法好好工作
EP04：それでさみしくないの　|　这样不会寂寞吗
EP04：あなたが私の息苦しさを理解できないように　|　就像你没法理解我的苦闷
