EP01 IN
EP01：雨すごいね　|　好大的雨呢
EP03：うーん　まあ　|　嗯 做点
EP03：ちょっとした彩りよ　彩り　|　就当助个兴 助兴
EP03：うん　よさそうだな　|　嗯 看起来不错
EP03：飲み物開けようっと　|　开点饮料吧
EP03：さあさあさあ　乾杯乾杯　|　来来来 干杯干杯
EP03：ちょい待ち　|　稍等一下
EP03：ああ　さっき何か彩りに作るって言ってたよね　|　啊 她刚才说的要助兴
EP03：おんまあ　お前ら用じゃないけどな　|　嗯确实 但不是给你们的
EP03：よっと　|　来
EP03：こいつ用だよ　|　是给这家伙的
EP03：わざわざ作ってくれたんだ　|　你还特意给它准备了
EP03：余ってた白菜包んで　ゆでただけだけどね　|　只是把那些剩下的白菜包起来煮了而已
EP03：ほら　|　吃吧
EP03：１人だけ仲間外れじゃ寂しいからな　|　只它一个被排除在外的话也太可怜了
EP03：かわいくないとか言ってたのに　特製ご飯作ってあげるんだ　|　嘴上嫌它不可爱 结果还专门给它做饭
EP03：余ってた白菜包んだだけだよ　|　我只是把剩下的白菜包起来了
EP03：昔から一番優し　|　从前就是你最温柔
EP03：はいはい　私たちも食べよう　|　好了好了 我们也吃吧
EP03：乾杯　|　干杯
EP03：ったく　しゃあないやっちゃな　|　哎 真拿你没办法啊
EP03：ほら　|　给
EP03：がっついてるね　みーちゃん特製ご飯　|　吃得好起劲啊 小美的特制饭
EP03：そりゃまあ　こいつ用に作ったからな　|　那当然了 毕竟就是给它的
EP03：よしよし　そんなにうまいか　|　乖乖 这么好吃吗
EP03：今から海行かない　|　我们现在去海边吧
EP03：すぐ海行こうとする　|　你怎么总是突然想去海边
EP03：行こうぜ　|　一起去吧
EP03：行かない　|　不去
EP03：なあ　|　去嘛
EP03：行かない　|　不去
EP03：相変わらずふーちゃんのこと好きすぎじゃない　|　你还是老样子 太喜欢小藤了吧
EP03：そんなに私のことが　|　这么在意我吗
EP03：アホか　|　白痴吗
EP03：今年も海開きが行われました　|　今年也到了海滩开放的时节
EP03：早速訪れた海水浴客たちは歓声を上げて海に飛び込んでいました　|　早早前来的游客们欢笑着跳入大海的怀抱
EP03：行かない　|　不去
EP03：みんなで行って何が楽しいのよ　|　和大家一起去 有什么开心的
EP03：海なんて　|　海边啊
EP03：１人で行くのが一番楽しいのに　|　一个人去才是最开心的
EP03：すごい　|　好厉害
EP03：よく当たったな　|　真亏你能打中啊
EP03：ないよ　|　没有
EP03：君と私じゃ食べきれないもの　|　你和我根本吃不完嘛
EP03：水着持ってきてないから　|　我没带泳衣
EP03：というか　穴はなんだったの　|　话说 为什么要挖洞
EP03：ほら　君も掘って　|　好啦 你也来挖
EP03：早く早く　|　快来快来
EP03：待ってよ　|　等等我嘛
EP03：よし　できた　|　好 挖完了
EP03：ほら　お風呂できたよ　|　看 做了个澡盆
EP03：楽しそうね　|　很开心嘛
EP03：あの　藤さん　|　那个 藤同学
EP03：よかったら　お昼一緒にどうかなあ　|　可以的话 要不要一起吃午饭呢
EP03：お昼は本読もうと思ってるから　|　我中午想要看书
EP03：そ…そっか　|　是…是吗
EP03：でも　|　不过
EP03：お昼はいつも食べないの　|　你平时都不吃午饭的吗
EP03：せっかく３人いるんだから　話でもしながら食べようや　|　难得凑了三个人 边吃边聊不好吗
EP03：みーちゃん　|　小美
EP03：気にしないで本読んでてね　|　请别在意 安心看书吧
EP03：みーちゃんは私と話すから　|　小美和我聊就好了
EP03：ごめんなさい　|　抱歉
EP03：どうしてもこの本　ゆっくり読みたくて早弁しちゃったから　|　我真的很想慢慢品味这本书 所以提前把便当吃掉了
EP03：私のおなかの音を気にせず食べていいからね　|　不用在意我肚子的声音 你们慢慢吃就好了
EP03：パン１個やるよ　|　面包分你一个
EP03：いいの　|　可以吗
EP03：ブロッコリーも食べる　|　西蓝花也吃点吗
EP03：ありがとう　|　谢谢
EP03：小さいのならあったけど　|　倒是有小西瓜
EP03：スイカ割りが　したかったんじゃなかったのね　|　原来你不是想玩打西瓜啊
EP03：そう　|　是吗
EP03：よかった　|　挺好的
EP03：どうしちゃったの　|　你是怎么了
EP03：海に１人で来るのは好きだけど　|　虽然我喜欢一个人来海边
EP03：楽しいからというか…　|　但与其说是开心…
EP03：誰かと一緒にいなくても　|　哪怕不和人一起
EP03：泳いだり　スイカ割りをしなくてもね　|　哪怕不去游泳 不打西瓜
EP03：夏には夏だけの日差しがあって　|　夏天也有只属于夏天的阳光
EP03：潮のにおいがして　|　大海的气味
EP03：感じるものは　たくさんあって　|　能感受到那么多东西
EP03：ごめんね　|　抱歉呢
EP03：楽しかったな　|　真开心呀
EP03：君の「楽しい」とは違うかもしれないけど　|　虽然和你的「开心」可能不太一样
EP03：うまく言えないや　|　我也说不清楚
EP03：でも…　|　不过…
EP03：来てよかった　|　我觉得我来对了
EP03：私もやっぱり　食べようっと　|　我还是吃一点吧
EP03：何よ　|　干嘛
EP03：あなた　さっき食べたじゃない　|　你刚刚不是吃过了吗
EP03：そうだ　|　对了
EP03：相変わらず　何考えてるかわかんねえな　|　还是老样子 让人搞不懂她在想什么啊
EP03：#朋友
EP03：#狗狗零食 牛肉干
EP03：#写得很好
EP03：#可爱
EP03：#海滩终于开放了 30度的烈日下活泼的孩子们
EP03：#好想去啊
EP03：#和大家一起去的话…
EP03：#会很开C
EP03：#有西瓜吗？
EP03：#游泳吗？
EP03：#真开心呢
EP03：#你不开心吗？
EP03：#开心的吧？
EP03：#应该是开心的呀
EP03：#快说你很开心!!
EP03：#炒饭 汤面 什锦荞麦面 猪肉炒菜
EP03：#以后再来次饺子派对吧 也替我向那家伙问好！
EP03：#谢谢你们两个大热天的过来
EP03：#我去海边了
EP03：#你怎么老是一个人跑去海边再给我们发照片
EP03：#大家一起去不好吗？
EP03：#我不要
EP03 OUT

EP04 IN
EP04：大事な話がある　|　我要说个重要的事
EP04：お父さん禁煙したんじゃないの　|　爸爸你不是戒烟了吗
EP04：お母さんに言うよ　|　我要告诉妈妈了哦
EP04：ごめんなさい　|　对不起
EP04：それに　この部屋禁煙だから　|　而且我家禁止吸烟
EP04：で　大事な話って　|　所以是什么重要的事
EP04：まず　お前にだが　|　首先是你的
EP04：ジャーン　|　锵
EP04：ペアルック　|　亲子装
EP04：絶対嫌　|　绝对不穿
EP04：想定内だ　|　预料之中
EP04：ジャン　|　锵
EP04：かわいいだろ　|　可爱吧
EP04：ちょっとだけ着てみてよ　|　你就穿穿试试嘛
EP04：ねっ　ねっ　|　好不好 好不好
EP04：お着替えしようね　|　穿上试试嘛
EP04：ちょっと　|　等等
EP04：待って　|　别跑
EP04：ほら　ちょっと　|　好了 别动
EP04：待って　待って　待って　|　别跑 别跑 别跑
EP04：お父さん　嫌がってるから　|　爸爸 它不喜欢哦
EP04：着たら絶対に似合うし　かわいいから　|　这么可爱穿上肯定合适
EP04：お母さんに　たばこ買ってたって言うね　|　我要告诉妈妈你买烟了哦
EP04：ウソ　ウソ　ウソ　ウソ　ウソ　ウソ　|　玩笑 玩笑 玩笑 玩笑
EP04：お前が着れば天使ちゃんも着てくれるんじゃないかな　|　你穿的话小天使说不定也会穿
EP04：お母さん　お父さんがたばこ買って　|　妈妈 爸爸买烟了
EP04：ウソ　ウソ　ウソ　ウソ　ウソ　ウソ　|　玩笑 玩笑 玩笑 玩笑
EP04：ウソッ　|　玩笑啊
EP04：やっぱり着てみたくなったか　|　你果然想穿穿看吗
EP04：いい子だなあ　|　真是个好孩子
EP04：降ってきた　|　下雨了
EP04：ウソ　|　不会吧
EP04：バスの時間ギリギリ　|　要赶不上公交了
EP04：ありがとう　|　谢谢
EP04：ただいま　|　我回来了
EP04：ねえ　|　我说
EP04：おもちゃ　しまって　|　把玩具收起来吧
EP04：静かにしないともったいない　|　不安静享受就太浪费了
EP04：でしょ　|　对吧
EP04：雨どんどんひどくなってる　|　雨越下越大了
EP04：近くに落ちたわね　|　雷打到附近了
EP04：ちょっと手を貸して　|　把手借我一下
EP04：子供の頃　雨の日の窓に落書きするのが好きだったな　|　从小我就喜欢在雨天的窗上画画
EP04：今思うと暗い子で　|　现在想来自己真是阴沉
EP04：あの頃から一人でいるのが好きだったのかも　|　可能从那时起我就喜欢独处了
EP04：これはこれで　ね　|　这样也不错 对吧
EP04：もしもし　|　喂
EP04：ねえ　今話せる　|　喂 现在方便说话吗
EP04：うん　大丈夫だけど　|　嗯 可以说
EP04：今度の土曜日　花火行かない　|　这周六 去不去看烟花
EP04：花火　|　烟花
EP04：土曜日　|　这周六
EP04：うん　空いてるよ　|　嗯 那天我有空
EP04：じゃあ行けるわね　|　那就能去咯
EP04：うん　|　嗯
EP04：よかったわ　|　太好了
EP04：そうだ　|　对了
EP04：お隣さんも誘ってもいい　|　我可以邀请我邻居吗
EP04：お隣さんって前にお父さんが会った子　|　你说的邻居是爸爸之前见过的孩子吗
EP04：そうそう　希依ちゃんとそのお母さん　|　对对 小希依和她的妈妈
EP04：お祭り行ったことないって言ってたから　|　她们说之前没去过祭典
EP04：そうなの　|　是吗
EP04：ぜひ一緒に　|　那你们一起来
EP04：うん　|　嗯
EP04：じゃあ土曜日　|　那就周六见
EP04：どうしたの　|　你怎么了
EP04：上手ね　|　画得真好
EP04：もう仲良くなったんだから大丈夫よ　|　你们已经熟了 没关系的
EP04：はーい　|　来了
EP04：あら　こんにちは　|　哎呀 你好
EP04：こんにちは　|　你好
EP04：あれ　この子が噂のワンちゃん？　|　咦 这孩子就是那只小狗？
EP04：どうしたの　|　有什么事吗
EP04：今週末のお祭りに両親と行くんですけれど　|　这个周末我要和父母一起参加祭典
EP04：よかったら一緒にと思いまして　|　要是方便的话想跟你们一起去
EP04：ホント　いいの　|　真的可以吗
EP04：でもその日仕事だわ　|　但那天我有工作
EP04：残念　|　真遗憾
EP04：よければ　希依ちゃんだけでもどうですか　|　可以的话 只让小希依去怎样
EP04：わあ　やったー　|　哇 好呀
EP04：じゃあお願いしちゃう　|　那就麻烦了
EP04：じゃあ土曜日の18時に　|　那就周六的18点会合
EP04：はーい　ありがとね　|　嗯 谢谢
EP04：夜にお出かけするのって　わくわくしますね　|　晚上出门玩 好兴奋哦
EP04：うん　|　嗯
EP04：お待たせ　|　久等了
EP04：話してたお隣さんだよ　|　这就是我说的邻居
EP04：かわいらしいお友達ね　|　真是可爱的朋友呢
EP04：クラウゼ・エラ・希依といいます　|　我叫克劳洁·艾拉·希依
EP04：お誘いいただき　ありがとうございます　|　感谢你们的邀请
EP04：今日は　よろしくお願いします　|　今天还请多多关照
EP04：藤道子です　よろしくお願いします　|　我叫藤道子 请多关照
EP04：ないよ　|　没有哦
EP04：日本のお祭り　初めてなんだって　|　她是第一次参加日本的祭典
EP04：あら　じゃあ楽しみね　|　哎呀 那可真期待呢
EP04：お久しぶり　覚えてるかな　|　好久不见 你还记得我吗
EP04：辰雄です　|　我是辰雄
EP04：お久しぶりです　|　好久不见
EP04：天使ちゃんもお久しぶりっ　|　小天使也好久不见
EP04：相変わらず　かわいいね　|　你还是这么可爱呢
EP04：よしよし　よしよし　|　乖乖乖乖
EP04：お父様も　お変わりなく　|　伯父也还是老样子呢
EP04：こないだは　ごめんね　|　之前对不起哦
EP04：会いたかったよ　|　我好想见你的
EP04：希依ちゃん　|　小希依
EP04：この前は変なおじさんと遊んでくれて　ありがとう　|　谢谢你之前愿意陪奇怪的叔叔一起玩
EP04：いえ　とても愉快なお父様ですね　|　哪里 伯父人十分有趣
EP04：それにしても　お行儀いいわねえ　|　话说 你真是太懂礼貌了
EP04：いい子でしょ　|　是个好孩子吧
EP04：あれ　|　咦
EP04：そういえば　今日きなこちゃんは　|　说起来 今天怎么没见小黄豆粉
EP04：人混みに慣れてないので　お留守番です　|　它不喜欢人多的地方 所以让它看家了
EP04：今日は年に一度の夏祭り　|　今天是一年一度的夏日祭
EP04：そのために準備したんだよ　|　我可是专门做了准备
EP04：お父さん　嫌がってるから　|　爸爸 它不喜欢哦
EP04：さあ　みんな乗って　|　好了 大家都上车吧
EP04：さあ　行きましょうか　|　好 出发吧
EP04：今日だけよ　|　仅限今天哦
EP04：甘い　|　好甜
EP04：ダメ　|　不行
EP04：シロップはいちごでお願いします　|　我要草莓味的糖浆
EP04：私はシロップなしで　|　我的不用加糖浆
EP04：ほら　シロップなしだけどかき氷　|　给你 刨冰 虽然没有糖浆
EP04：希依ちゃん　お祭り楽しい　|　小希依 祭典好玩吗
EP04：はい　|　好玩
EP04：日本のお祭りおいしいです　|　日本的祭典很好吃
EP04：そう　よかった　|　是吗 那就好
EP04：私らは場所取りした席で食べましょうか　|　我们去占的位置那吃吧
EP04：ああ　そろそろ花火の時間だしな　|　嗯 也差不多要开始放烟花了
EP04：あんたたち　まだ見て回る　|　你们还要再逛逛吗
EP04：うん　|　嗯
EP04：私はもうちょっと　|　我再逛逛
EP04：希依ちゃんは　|　小希依的话
EP04：座れる所で食べようね　|　还是去能坐着的地方吃东西吧
EP04：はい　|　好
EP04：じゃあ先に行くわね　|　那我们先走了
EP04：うん　またあとで　|　嗯 等会见
EP04：お父さんと希依ちゃん　|　爸爸和小希依
EP04：孫とおじいちゃんみたい　|　好像爷爷和孙女
EP04：私も何か食べるもの買おうかしら　|　我也去买点吃的吧
EP04：君のご飯も持ってきてるからね　|　你的饭也给你带了哦
EP04：お祭り　楽しい　|　祭典 好玩吗
EP04：よかった　|　太好了
EP04：串焼きおいしそう　|　串烧看着很好吃
EP04：ちょっと待っててね　|　稍微等我下
EP04：いらっしゃい　|　欢迎光临
EP04：すみません　タレと塩を１つずつ　|　麻烦蘸酱和撒盐的各来一串
EP04：はい　|　好嘞
EP04：それと…　|　然后…
EP04：こっちの焼き野菜なら　あなたも食べ…　|　如果是这里的烤蔬菜 你也能吃…
EP04：あれ　|　咦
EP04：お客さん？　|　客人？
EP04：すみません　またあとで来ます　|　不好意思 我等会再来
EP04：どこ行っちゃったの　|　跑到哪去了
EP04：いない　|　找不到
EP04：もう完全に暗くなっちゃう　|　天都已经黑了
EP04：猫だ　|　是猫啊
EP04：かわいいね　|　好可爱啊
EP04：かわいい　|　好可爱
EP04：そろそろ花火始まるね　|　差不多要开始放烟花了
EP04：土手のほう行こうよ　|　我们去河堤那吧
EP04：オッケー　|　OK
EP04：きれい　|　好漂亮
EP04：色が変わったわよ　|　颜色变了哦
EP04：お姉さん遅いですね　|　姐姐她好慢啊
EP04：大丈夫　|　没事的
EP04：一応大人だから　|　怎么说也是大人了
EP04：すごい　|　厉害
EP04：おっきい　|　好大
EP04：何してるのかしら　|　她在干嘛呢
EP04：出店の列終わっちゃった　|　已经把摊位找到头了
EP04：参道を出ちゃったのかしら　|　是跑到参道外面去了吗
EP04：待って　|　等等
EP04：こんな所に来てたのね　|　跑到这种地方来了啊
EP04：そこに何かあるの　|　那边有什么东西吗
EP04：ねえ　|　喂
EP04：どういう…　|　究竟…
EP04：もしかして　|　难道说
EP04：ここに案内してくれたの　|　你是在给我带路吗
EP04：まさかね　|　怎么会呢
EP04：夏が終わる　|　夏天要结束了
EP04：#太土了
EP04：#夏日祭
EP04：#欢迎回来
EP04：#三羽乌！
EP04：#注：指某一个特定领域中三位表现最为杰出的人
EP04：#现在呢？
EP04：#回去吧
EP04：#长崎蛋糕？
EP04：#太土了
EP04：#好兴奋
EP04：#好帅
EP04：#给我一口
EP04：#凉凉的
EP04：#好冰
EP04：#特制招牌玉米棒
EP04：#特制黄油土豆
EP04：#筷子卷
EP04：#刨冰
EP04：#章鱼烧
EP04：#鸡腿 鸡肉丸 鸡胗 京葱鸡肉 鸡胸肉 牛肉串
EP04：#巧克力香蕉
EP04：#可丽饼
EP04 OUT

EP05 IN
EP05：お疲れさまです　|　辛苦了
EP05：お疲れさまです　|　辛苦了
EP05：お待たせしました？　|　让你久等了？
EP05：いえいえ　全然　|　没有 没有
EP05：いらっしゃいませ　|　欢迎光临
EP05：アイスティーをお願いします　|　给我来杯冰茶
EP05：はい　|　好的
EP05：今日は新しい仕事の話がしたくて　お時間頂いたんですよ　|　今天约你是想商量一下新的工作
EP05：そうですよね　|　嗯
EP05：それっていうのがですね　|　该怎么说呢
EP05：まあ　漫画の原作なんですよ　|　总之 就是写漫画的原作小说
EP05：漫画　それはまた…　|　漫画 那还真是…
EP05：断りますか　|　要拒绝吗
EP05：いやいや　どんな話なんですか　|　没有没有 具体是怎么回事
EP05：お待たせしました　|　您久等了
EP05：話自体は漫画家の方からの希望らしくて　|　这次合作好像是漫画家本人的愿望
EP05：兎角アラタっていう先生です　|　是一位叫兔角新田的老师
EP05：これ　ご本人の書籍です　|　这是那位老师的作品
EP05：なんでだろ　|　为什么找我呢
EP05：それは先方が先生のファン…　|　因为这位老师是你的粉…
EP05：まあ　詳しくは聞けてないんですが　|　具体原因我也不清楚
EP05：私も誰かに原作頼みたいな　|　我也想找人帮我写稿呢
EP05：漫画原作はやったことがないので　|　我也没写过漫画用的小说
EP05：先方のお話を聞かないことには　なんとも　|　不先跟对方交流一下也不好决定
EP05：まあ　そうですよね　|　嗯 说得也是
EP05：受けるにしても断るにしても早いほうがいいので　|　不管接受还是拒绝最好尽早决定
EP05：リモートで一度顔合わせしましょうか　|　总之先线上会议商讨下吧
EP05：うん　|　嗯
EP05：そうですね　|　说得也是
EP05：藤先生お疲れさまです　|　藤老师辛苦了
EP05：お疲れさまです　|　辛苦了
EP05：えっと　こちらの方が兎角アラタ先生の担当　|　那个 这位是兔角新田老师的担当编辑
EP05：熊野御堂です　|　我是熊野御堂
EP05：はじめまして　|　您好
EP05：今回は原作を引き受けてくださって　ありがとうございます　|　感谢您愿意接下这次原作的工作
EP05：あの　まだ引き受けるとは　|　那个 还没说要接
EP05：冗談です　|　开玩笑的
EP05：今回は本人から強い希望がありまして　|　这次合作主要源于她本人的强烈愿望
EP05：まあ　一度ごあいさつがてら…　|　总之先打个招呼再…
EP05：ごあいさつ…　|　打个招呼…
EP05：あれ　アラタ先生オフライン　|　奇怪 新田老师不在线
EP05：失敬　|　失敬了
EP05：少々お待ちを　|　请稍等一下
EP05：もう始まっているが　|　会议已经开始了
EP05：先方の先生をお待たせしている　|　那位老师在等你呢
EP05：い…いや　き…緊張しすぎて　|　不…不是 我…太紧张了
EP05：ミュートになってないけど　|　你们没有闭麦哦
EP05：緊張？いいから　深呼吸して参加しなさい　|　紧张？行了 深呼吸下快点加入
EP05：まあ　|　哎呀
EP05：どうも　|　你好
EP05：まずは謝罪を　|　先道歉
EP05：遅れてすみません　今日はよろしくお願いします　|　抱歉迟到了 今天还请多关照
EP05：はじめまして　藤です　|　初次见面 我是藤
EP05：よろしくお願いします　|　请多关照
EP05：ピアスかわいいですね　|　你的耳环真可爱啊
EP05：イタッ　|　疼
EP05：まずは　どういったお願いなのかですが　|　先说一下你的要求吧
EP05：せ…先生の作品は読ませていただいてるので　|　老…老师的书我都读过了
EP05：短編小説を一つ書いていただければと思って　|　就想请您帮我写一篇短篇小说
EP05：ありがとうございます　|　谢谢你
EP05：何かテーマやコンセプトは　|　有没有什么主题或概念
EP05：お任せします　|　全交给你了
EP05：え…ええっと　自由です　|　那…那个 自由发挥
EP05：藤先生の好きなように　書いていただければ　|　只要藤老师写自己喜欢的就好
EP05：自由に　|　自由发挥
EP05：その　自由って言いましても…　|　就算你说自由发挥…
EP05：それでは　よろしくお願いいたします　|　那就请多关照了
EP05：いや　|　不是
EP05：ちょっと　|　喂
EP05：一度草稿を書いてみますね　|　我先写篇草稿试试吧
EP05：では　そちらが上がり次第改めてまたお話しする形で　|　那就等草稿写好后我们再讨论吧
EP05：はい　|　好
EP05：承知しました　|　明白了
EP05：では失礼します　|　那我先失陪了
EP05：ありがとうございました　|　感谢大家的时间
EP05：思わず引き受けちゃったじゃない　|　回过神来怎么就接下了
EP05：いつの間にか　すっかり秋模様　|　不知不觉间秋意浓郁
EP05：油断してたね　|　疏忽了啊
EP05：本当にきれい　|　真是美不胜收
EP05：どうしたら言い表せるんだろう　|　要怎样才能说尽这美景
EP05：どんな言葉をつづれば　|　要串起怎样的语言
EP05：本当にきれいなものを　|　对于美丽的事物
EP05：本当にきれいだって言葉にしても　人には伝わらない　|　即使用「美丽」一词也难以传达
EP05：難しいなあ　|　真难啊
EP05：何も考えずに楽しんでるのかな　|　这是没有多想单纯在享受吗
EP05：それが一番純粋　|　这样才是最纯粹的
EP05：びっくりした　|　吓我一跳
EP05：どうしたの　|　你怎么了
EP05：イチョウ並木より　そっちのほうがいいのね　|　比起赏银杏树道 你对这个更感兴趣吧
EP05：トゲが　|　有刺
EP05：ちょっと貸してごらん　|　让我试试
EP05：結構難しい　|　还挺难弄的
EP05：帰ったらゆでて食べよう　|　拿回去煮着吃吧
EP05：生のまま？　|　直接生吃？
EP05：今日はおやつに　りんご持ってきてるよ　|　今天带的零食是苹果哦
EP05：はい　どうぞ　|　来 吃吧
EP05：栗置いたら　|　先把栗子放下吧
EP05：うん　|　嗯
EP05：あそこで洗おう　|　在那里洗吧
EP05：アライグマだ　|　是浣熊
EP05：野生　|　野生的吗
EP05：いえ　うちの犬なんです　|　不 它是我家的狗
EP05：そうなんですね　|　这样啊
EP05：すみません　|　抱歉
EP05：でも洗ってますよね　りんご　|　但它在洗苹果吧
EP05：おやつのりんご　さっき落としちゃったんですよ　|　准备的零食苹果 刚才不小心弄掉了
EP05：りんごは洗ったほうがいいです　|　苹果还是洗了更好
EP05：だけど　|　但是
EP05：犬はりんご洗いません　|　狗不会洗苹果
EP05：普通飼い主が洗う　|　一般是主人洗
EP05：実はアライグマです　|　其实它是浣熊
EP05：なんだ　やっぱりそうなんですね　|　什么啊 果然是这样
EP05：私アライグマ生で見るの初めてです　|　我还是第一次见到活的浣熊
EP05：かわいいな　|　真可爱
EP05：食べる時はいつも洗うんですか　|　吃东西的时候它都会洗吗
EP05：ええ　アライグマですから　|　嗯 毕竟它是浣熊
EP05：すごい　|　真厉害
EP05：急に失礼しました　|　打扰你们了
EP05：じゃあね　アライグマちゃん　|　拜拜 小浣熊
EP05：またね　|　再见
EP05：「すごい」だって　|　她说你厉害
EP05：褒められてよかったね　アライグマちゃん　|　被夸真是太好了 小浣熊
EP05：いいじゃない別に　|　这不挺好的吗
EP05：どうしたの　|　怎么了
EP05：別に　|　并没有
EP05：めげないのね　|　真执着啊
EP05：わかった　|　我知道了
EP05：頭に葉っぱが２枚のってる　|　头上有两片叶子
EP05：すっきりした　|　舒服了
EP05：何かと思った　|　我还以为是啥
EP05：なに　お散歩の時にくっついちゃったんでしょ　|　怎么了 是散步的时候粘上的吧
EP05：どうしたの　|　怎么了
EP05：いつもよりも　なんかふかふかしてる　|　好像比平时更蓬蓬的
EP05：なるほど　|　原来如此
EP05：触ると結構違うものなんだね　|　摸起来真挺不一样的
EP05：抜け毛すごそうだな　|　但估计掉毛也会很厉害吧
EP05：はーい　|　来了
EP05：よ　|　哟
EP05：随分たくさん　本当にいいの　|　还挺多的 都给我吗
EP05：ああ　昔の同僚が今農園やっててな　|　嗯 以前的同事现在开了农场
EP05：今年は豊作なんだと　|　他说今年大丰收
EP05：あっち行ってなさい　|　你到一边去
EP05：刃物使うから抱っこしてなさい　|　我要用刀了 你抱着它吧
EP05：大丈夫大丈夫　|　没事的 没事的
EP05：お父さんは料理人なのよ　|　爸爸是厨师哦
EP05：いやというか　りんごくらい自分でむけるけど　|　但是啊 苹果我自己还是能削的
EP05：まあまあまあ　|　别急别急
EP05：プロの技ってのを見せてやろうと思ってな　|　我是想让你见识一下专业的手法
EP05：りんごで　|　用苹果吗
EP05：思ったより慎重なのね　|　倒是比我想的慎重多了
EP05：まあ　専門はイタリアンだし　|　毕竟我的专业是意式菜
EP05：ドルチェもあんまりやんないし　|　而且也不常做甜点
EP05：さあ　天使ちゃん　|　来吧 小天使
EP05：うさぎちゃんだよ　|　是小兔子哦
EP05：小鳥さんだ　|　还有小鸟先生
EP05：きれいなおは…　|　漂亮的花…
EP05：これ切ってないけど　|　这个我还没切
EP05：喜んでるみたいよ　|　看来它挺喜欢的
EP05：でも料理って見た目も味わうもんだからさ　|　但卖相和味道对料理来说都很重要啊
EP05：うん　きれいだった　|　嗯 很好看
EP05：じゃあ　これ置いていくから　|　那这些就放这里了
EP05：たくさんもらってくれて　すまんな　|　不好意思让你收下这么多
EP05：周りに欲しいって人多かったから　|　反正我周围也有不少人想要
EP05：ありがとね　|　谢谢你了
EP05：うちは道子がりんご好きじゃないからな　|　可惜我家道子不喜欢吃苹果
EP05：行きたいの　|　你想去吗
EP05：じゃあね　天使ちゃん　|　再见了 小天使
EP05：タヌキじゃん　|　是狸猫
EP05：のりちゃん　|　小纪
EP05：お待たせ　待った　|　等很久了吗
EP05：待ってないけど　|　还好啦
EP05：見てみめだか　|　梅田你快看
EP05：タヌキいるぞ　タヌキ　|　有狸猫哦 狸猫
EP05：違うよ　のりちゃん　|　不对哦 小纪
EP05：この子はアライグマ　|　这孩子是浣熊
EP05：ですよね　お姉さん　|　对吧 姐姐
EP05：この間の　|　是之前见过的
EP05：うん　まあ　|　嗯 算是吧
EP05：ほらね　のりちゃん　|　我就说嘛 小纪
EP05：マジ　|　真的吗
EP05：アライグマ初めて見た　|　我还是第一次见到浣熊
EP05：かわいいでしょう　|　可爱吧
EP05：あの　この子実は…　|　那个 其实这孩子是…
EP05：あれ　|　咦
EP05：でも　アライグマってもっと模様があったような　|　但是浣熊身上的花纹会更明显吧
EP05：模様は個体差があるんじゃない　|　每只的花纹都不一样吧
EP05：そうかも　|　有可能
EP05：この前のは冗談で　|　我之前是在开玩笑
EP05：かわよ　個性　かわよ　|　可爱 有个性 真可爱
EP05：雑種犬なんですよ　|　它是混种犬
EP05：そういえば知り合いの人　|　话说你们认识吗
EP05：ううん　この前ここで初めて会ったんだよ　|　不认识 之前在这里第一次碰到的
EP05：距離感　|　这么生分
EP05：お友達　|　你朋友吗
EP05：かわいいわね　それ　|　发型好可爱
EP05：どうも　|　谢啦
EP05：何それ　|　这是啥啊
EP05：今？　|　你才看到？
EP05：そういうウィッグ　カチューシャとかなの　|　是假发 还是发箍之类的
EP05：いえいえ　これは地毛でやってます　|　不是不是 这是我自己的头发
EP05：くるりんってするだけで簡単にできますよ　|　像这样绕一下很简单就能做出来哦
EP05：作り方の動画ありますよ　|　我这还有视频
EP05：なるほど　猫をファッションに取り入れたりもするのね　|　原来如此 把猫也整合进时尚元素里了啊
EP05：いや　別にこれはオシャレでやってるわけじゃなくて　|　没有 这不是为了时髦搞的
EP05：猫になりたいなって　|　是因为我想变成猫
EP05：そうなの　なりたいのね　|　这样啊 你想变成猫啊
EP05：なりたいすね　|　我想变成猫
EP05：あの　抱っこさせてもらってもいいすか　|　那个 可以给我抱一下吗
EP05：ええ　どうぞ　|　嗯 请吧
EP05：見て見て　犬猫コンビ　|　快看快看 猫狗组合
EP05：かわいいっしょ　|　可爱吧
EP05：かわいい　|　可爱
EP05：かわいいけど　|　虽然是可爱
EP05：その子は犬じゃなくてアライグマだってば　|　但这孩子不是狗而是浣熊啦
EP05：いや　雑種犬だってよ　|　她说是混种犬啊
EP05：さっきお姉さんが言ってたじゃん　|　刚刚姐姐不是说了嘛
EP05：ちゃんと聞いてたんだ　|　原来你有在听啊
EP05：すみません　こいつ人の話聞かなくて　|　对不起 这家伙都不听人说话
EP05：いえいえ　|　没事没事
EP05：この辺りに住んでるんですか　|　你住在这附近吗
EP05：少し離れてるけど　|　虽然有点距离
EP05：まあ　あまり遠くはないわね　|　不过算不上太远
EP05：で　お散歩はいつもここですか　|　所以平时都来这散步吗
EP05：なんでウソついたんですか　|　为什么要撒谎
EP05：どうした　急に　|　怎么了这么突然
EP05：お姉さんが最初にアライグマって言うから　|　因为姐姐最开始说这是浣熊
EP05：初めて見れて嬉しかったのに　|　我才因为第一次见到而那么开心
EP05：ごめんなさいね　|　抱歉啊
