EP01 IN
EP01：「旅にでたい」　誰しも一度は思ったことがあるだろう　|　「好想去旅行」 谁都曾有过这样的想法吧
EP02：予測できないの楽しくて　|　无法预测的感觉很有趣
EP02：今回は北陸か　|　这次是去北陆啊
EP02：というかホントにアタシついてきてよかったのか　|　话说我跟着一起去真的好吗
EP02：取材旅なんだろ　|　是取材旅行吧
EP02：たまにはね　|　偶尔也好
EP02：なに　|　怎么了
EP02：別に　|　没什么
EP02：それで「黒部宇奈月温泉駅」だっけ　目的地　|　所以是去「黑部宇奈月温泉站」对吧
EP02：北陸の富山で目についたから　|　在看北陆富山时发现的
EP02：黒部って有名なダムあったよな　|　黑部是那个有名的水坝吧
EP02：山も温泉も海もあるのか　広いな　|　有山有温泉还有海啊 真广阔啊
EP02：あとね　今回楽しみなのが　|　然后 我这次期待的是
EP02：黒部峡谷鉄道トロッコ電車　|　黑部峡谷铁路观光电车
EP02：山の谷間をガタゴト走るんだって　|　据说会在山谷间哐当哐当地行驶
EP02：景色すごいっぽいなあ　楽しみだ　|　景色应该超棒 好期待
EP02：しかし　ホントに旅始まったんだなあ　|　不过 旅行真的开始了啊
EP02：私も最初ソレ思った　|　我一开始也这么想
EP02：新幹線ってふだん乗らないから　特別感あるよな　やっぱ　|　平时不会坐新干线 果然有种特别感
EP02：この新幹線で黒部宇奈月温泉駅まで約２時間ちょい　|　坐新干线到黑部宇奈月温泉站大概两小时多点
EP02：今まででいちばん長く乗るんだ　|　是目前最久的一次
EP02：でも…　|　不过…
EP02：空が広くなってきた　|　天空变得开阔了
EP02：退屈はしなさそうだ　|　看来不会无聊
EP02：そういや　ゆいのヤツがさ　|　说起来 唯那家伙
EP02：私にもメール来たよ　|　我也收到消息了
EP02：やっぱな　土産買ってってやるか　|　果然啊 给她买点特产吧
EP02：だね　|　好啊
EP02：東京から指定席で片道だいたい１万2000円　|　从东京坐指定席单程约12000日元
EP02：あれがトロッコ電車な　|　那就是观光电车啊
EP02：他は何もないな　|　除此之外什么都没有了
EP02：ないねえ　|　是没有呢
EP02：海と温泉の真ん中って感じなのかな　|　是在大海和温泉的中间吗
EP02：ここには海感も温泉感もないなあ　|　这里既没有大海气氛也没有温泉氛围啊
EP02：けどさ　|　不过
EP02：いいな　|　真不错啊
EP02：あれ　あの山なんだろう　|　咦 那是什么山
EP02：雪山…じゃない？　|　是…雪山吧？
EP02：雪山かあ…　|　雪山啊…
EP02：トロッコ電車は温泉のほうだけどまずは　|　虽然观光电车在温泉那边 但首先
EP02：日本海　|　日本海
EP02：食べ物　|　食物
EP02：腹ごしらえよりまず日本海でしょう　小娘がっ　|　比起填饱肚子要先看日本海啊 小丫头
EP02：ほら　映画のアレ見たくない　|　不想看看电影里的那个吗
EP02：確かに見たい　|　确实想看
EP02：いや　しかしお嬢ちゃん　|　不过这位姑娘
EP02：さっき観光案内所でもらった地図でいいの見つけたんすよ　|　我在刚才游客咨询中心拿的地图上发现个好地方
EP02：その名も「魚の駅」生地　|　其名为「鱼之站」生地
EP02：やだ　おいしい魚が集まってきちゃうの　|　什么 美味的鱼都会聚集于此吗
EP02：何それ魅力的　|　好有吸引力
EP02：というかコレどっちにしても海方面だね　|　话说这两个都在大海方向
EP02：だなあ　|　是啊
EP02：バスも電車もまだ40分ぐらい待つね　|　公交车和电车都还要等40分钟左右
EP02：じゃあ　せっかくだから　|　机会难得
EP02：歩いてって　途中のバス停で時間合いそうなのあれば乗ろうぜ　|　先走着去 路过途中的公交站时 公交正好来再坐吧
EP02：いいね　それ　|　好主意啊
EP02：それじゃあ　海方面に向かって　|　那么向着大海的方向
EP02：ゴー　|　出发
EP02：最近どなん？　|　最近如何？
EP02：ボチボチ　|　马马虎虎
EP02：そうかい　|　这样啊
EP02：まっ　あんま無理すんなよ　|　别太勉强自己
EP02：結構歩いたねえ　|　走了不少路呢
EP02：アタシはまだまだいけるぞ　|　我还完全没问题哦
EP02：アウトドア派め　|　可恶的户外派
EP02：バス来た　|　公交来了
EP02：バス小さい　|　公交好小
EP02：これだよね　|　是这辆吧
EP02：生地行きだけど乗るんかい　|　去生地的 要坐吗
EP02：はい　|　要
EP02：運賃200円だけどこのバスに両替機ないから　|　车费200日元 不过这公交没有货币兑换机
EP02：小銭がなかったら　そこの営業所で両替してきて　|　没零钱的话 要去那边营业所换
EP02：行ってきます　|　我去去就回
EP02：ありえないだろう　バスに両替機ないんだぜ　|　真离谱吧 公交居然没货币兑换机
EP02：陽気だ　|　真开朗
EP02：どっから来たの　|　你们从哪来的
EP02：東京からです　|　从东京来的
EP02：遠いところから　|　从那么远的地方来啊
EP02：生地にはねえ　「きときと」な魚があがっとるよ　|　生地有很多「KITOKITO」的鱼哦
EP02：「きときと」って何？　|　「KITOKITO」是什么意思？
EP02：あとは「しょうず」がたくさんあってね　|　还有很多「SHOUZU」
EP02：「しょうず」って何？　|　「SHOUZU」又是什么意思？
EP02：次は「魚の駅口」でございます　|　下一站是「鱼之站口」
EP02：着いたね　|　到了
EP02：はーい　どうも気をつけて　毎度毎度　|　好嘞 路上小心 感谢光临
EP02：気のいいおっちゃんだったな　|　是个和善的大叔呢
EP02：謎も残してくれたね　|　还留下了谜题啊
EP02：「きときと」　「しょうず」　|　「KITOKITO」「SHOUZU」
EP02：そんで着いたぞ　ここが…　|　然后到啦 这里就是…
EP02：なんか思ったよりこぢんまりしてるな　|　比想象中的要小啊
EP02：ちょっと　|　等等
EP02：えと…　|　我看看…
EP02：「とれたて館」は水揚げされた新鮮な魚が売られてて　|　「现捕馆」卖的是刚捕捞的新鲜鱼
EP02：「できたて館」は海鮮料理が食べ　|　「现做馆」是吃海鲜料理的
EP02：ごはんはそっちだな　|　吃饭是去那边吧
EP02：アタシャもう腹ペコちゃんだよ　|　我已经饿扁啦
EP02：ちょっと待　|　等等
EP02：うま　|　好吃
EP02：うま　|　好吃
EP02：なんだこれ　刺身ってここまでうまかったっけ　|　怎么回事 生鱼片原来这么好吃吗
EP02：人生で食べた中でいちばんうまい　|　是我人生中吃过最好吃的
EP02：すごい　この白エビの素揚げもおいしい　|　真棒 这个清炸白虾也很好吃
EP02：ハッスー　この白い身の刺身　|　小莲 这个白色的刺身
EP02：白いやつ　すごい味がある　何コレ　|　白色的这个味道超棒 这是什么
EP02：語彙力帰ってこい　|　语言组织能力快回来
EP02：それはメダイですね　|　那是日本栉鲳
EP02：きときとでおいしいでしょう　|　KITOKITO的很好吃吧
EP02：あの　きときとって…　|　那个 KITOKITO是…
EP02：富山の方言で新鮮とか生き生きしたっていう意味なんですよ　|　是富山的方言 新鲜或有活力的意思
EP02：なるほど　ありがとうございます　|　原来如此 非常感谢
EP02：謎が解けたな　|　谜题解开了
EP02：しかし　すずちんが食い物でここまでテンション上がるの初めて見たな　|　不过 我还是第一次见铃亲因为食物兴奋到这种程度
EP02：ハッスーなんかここ着いたとき　|　小莲刚到这的时候
EP02：こぢんまりしてるとか暴言吐いてましたよねえ　|　发表了这里很小的暴论吧
EP02：猛省しています　帰ったら謝罪会見開きます　|　正在深刻反省 回去就开道歉发布会
EP02：ありがとう　できたて館様　|　非常感谢 尊敬的现做馆
EP02：こっちも…　|　这个也…
EP02：謎解けた　|　谜题解开了
EP02：そう　清水はきれいな湧き水のことだよ　|　是的 清水就是指清澈的泉水哦
EP02：味がする　水なのに　|　明明是水却能尝出味道
EP02：いよいよ日本海とご対面　荒波が待ってる　|　终于要见到日本海了 惊涛骇浪等着我们
EP02：荒波　|　惊涛骇浪
EP02：下見て「せーの」でね　|　先喊「预备」再一起看
EP02：わかったって　|　知道啦
EP02：せーの　|　预备
EP02：穏やか　|　风平浪静
EP02：これはこれで　|　这也别有一番意境
EP02：どう　なんか描けそう　|　怎么样 能画出来什么吗
EP02：どうかなあ　|　不好说
EP02：アタシはさ　漫画描くって全然わからんから　|　我对画漫画一窍不通
EP02：そこに関しては何もできないけど　|　这方面完全帮不上忙
EP02：一緒に海をぶらつくことなら　いつでもつきあえるぞっ　|　但如果是一起在海边闲逛的话 我随时奉陪
EP02：ハッスー　たまにかっこいいの　ずるいよね　|　小莲偶尔还挺帅的 太不公平了
EP02：もっと褒めてもいいぞ　|　可以再多夸我点哦
EP02：#发布
EP02：#分镜被否决，打算去旅行。从东京往哪个方向走好？
EP02：#第2旅 绝非虚名！元气满满双人行
EP02：#想象中的芭蕉
EP02：#注：松尾芭蕉，江户时代前期的诗人
EP02：#列车即将到达仙台站 仙台站后下一站停靠古川站
EP02：#随性地图
EP02：#仙台
EP02：#方便 快捷 无现金支付就选Soica
EP02：#前方没有在来线换乘用电梯
EP02：#仙石线乘车处
EP02：#新鲜牡蛎
EP02：#有新鲜牡蛎！松岛产牡蛎和三陆产牡蛎 可以对比品尝！提供生牡蛎、炙牡蛎、烤牡蛎三种吃法 欢迎享用!!
EP02：#欢迎来到松岛
EP02：#距雄岛
EP02：#鲸岛 龟岛
EP02：#大海与小岛，啊，真棒…
EP02：#前方禁止车辆通行
EP02：#游客接待处
EP02：#参拜路线 正殿参拜入口请由此进
EP02：#库里（国宝） 亦可写作「庫裏」。是禅宗寺院的厨房建筑。正面宽13.78米，进深23.64米。采用悬山式本瓦葺屋顶，上方叠加烟囱用歇山式小屋组。屋脊最高处的唐破风与承接四段叠涩梁的斗拱等充分体现了伊达政宗公的审美意趣。于昭和34年（1959年）被认定为国宝，原设于入口处的灶台已被拆除。
EP02：#禁止穿鞋入内
EP02：#注：寝耳に水，比喻事情突如其来
EP02：#这样啊 别太勉强自己 有需要时就叫我吧 嗯
EP02：#请多关照
EP02：#仁王丸乘坐导览图
EP02：#松岛鱼市场 餐饮处
EP02：#松岛牡蛎三明治
EP02：#欢迎光临 寿司 餐饮 鱼贝类 美味 干货 土特产
EP02：#松岛烤牡蛎之家 炭火炙烤牡蛎 烤牡蛎自助!! 45分钟2300日元
EP02：#松岛牡蛎汉堡
EP02：#三个大牡蛎 涂上了柚子酱
EP02：#小莲快看
EP02：#很好吃!!
EP02：#牡蛎美挂饰 真可爱
EP02：#为了漫画取材和转换心情打算和朋友一起去旅行，从东京往哪个方向走好？
EP02：#统考
EP02：#因陶醉于景色而大脑停摆的对话
EP02：#地区观光展览馆
EP02：#现做馆 现捕馆
EP02：#当季新鲜渔获 顶级寿司食材
EP02：#船上刺身套餐
EP02：#富山湾的宝石 清炸白虾
EP02：#黑部宇奈月温泉
EP02：#超好吃…！
EP02：#名水之乡「黑部」 清水之镇「生地」
EP02：#生地镇游览地图
EP02：#微风吹拂
EP02：#哗啦哗啦
EP02：#就要这个劲道
EP02 OUT

EP03 IN
EP03：さあ　時刻は18時を回ってますがなんとかホテルも予約できまして　|　好 虽然已经18点多了 但总算订到了酒店
EP03：今のお気持ちは　鈴ヶ森さん　|　你现在心情如何 铃森小姐
EP03：眠い　|　好困
EP03：温泉入るまで寝られませんよ　鈴ヶ森さん　|　在泡温泉前可别睡着哦 铃森小姐
EP03：寝たいですよね　|　很想睡吧
EP03：元気すぎてうっさいな　|　太有精神 烦死了
EP03：今うっさいって思ったろ　|　你刚才是在想我烦死了吧
EP03：思ってないよ　|　没有
EP03：思ったよな　|　肯定有吧
EP03：ホントに　|　真的吗
EP03：うっさい　|　烦死了
EP03：言った　|　说出来了
EP03：次は宇奈月温泉　終点です　|　下一站终点站 宇奈月温泉
EP03：お前が寝てるんかい　|　你倒是睡着了啊
EP03：ここが宇奈月温泉　|　这里就是宇奈月温泉
EP03：宇奈月温泉駅は大正12年に　|　宇奈月温泉站是大正12年
EP03：黒部川の電源開発に伴って開湯された温泉地で　|　随黑部川电力开发而形成的温泉乡
EP03：富山県内の温泉地ではいちばん大きい　|　是富山县内规模最大的温泉乡
EP03：トロッコ電車は明日かな　|　观光电车要等明天了吧
EP03：だな　|　是啊
EP03：腹減った　|　肚子饿了
EP03：宿素泊まりだし　何か食べていかないとね　|　旅馆纯住宿不含餐 得自己找点吃的呢
EP03：何かあるかな　|　有什么选择呢
EP03：正解　|　选对了
EP03：内蔵のしょっぱさがまたクセになる　|　内脏的咸鲜味让人欲罢不能
EP03：ありがとう　日本海　ありがとう　富山湾　|　感谢日本海 感谢富山湾
EP03：うっすら山が見えるぞ　|　隐约能看到山呢
EP03：だね　|　是啊
EP03：しかし　|　不过
EP03：温泉ってたまらんなあ　|　泡温泉真让人欲罢不能啊
EP03：だね　|　是啊
EP03：結構歩いたし　体にしみわたるな　|　走了不少路 感觉浑身都舒展了
EP03：だね　|　是啊
EP03：２人旅っていいもんだよなあ　|　双人旅行真不错呢
EP03：「だね」って言えよ　泣いちゃうぞ　|　快说「是啊」 我要哭了哦
EP03：明日　|　明天
EP03：トロッコ電車　楽しみだね　|　观光电车 真期待啊
EP03：だな　|　是啊
EP03：このとき　私たちはまだ気付いていなかった　|　此时 我们还未察觉
EP03：自分たちが　ある重大なミスを犯していたことに　|　自己犯了个重大失误
EP03：黒部峡谷鉄道　|　黑部峡谷铁路
EP03：その始まりは黒部川の発電所建設資材や作業員を運ぶためのものだった　|　起初是为了运送黑部川水电站建设材料和工人的铁道
EP03：らしい　|　据说如此
EP03：日本一深いＶ字峡谷　黒部峡谷を縫うように路線が走っている　|　它穿行在日本最深的V字峡谷 黑部峡谷之中
EP03：らしい　|　据说如此
EP03：季節ごとに色が変わる峡谷の景色はまさに絶景　|　峡谷颜色随季节变化 堪称绝景
EP03：らしい　|　据说如此
EP03：ただ…　|　但是…
EP03：峡谷鉄道　やってねえっ　|　峡谷铁路 没开啊
EP03：いい叫びでござる　相棒　|　好一声呐喊 搭档
EP03：12月から４月　雪が多い時期はやってない　|　12月到4月积雪期停运
EP03：トロッコ電車　やってなかった　|　观光电车居然停运了
EP03：すごい笑えた　|　真是太好笑了
EP03：ざつでももう少しだけ調べておこうと思った　|　虽然是随性的旅行 但也应该调查一番
EP03：乗れたらこんな感じだったらしい　|　能坐到的话是据说这样的景象
EP03：いつかリベンジするぞ　|　总有一天要来一雪前耻
EP03：アシの仕事も終わったし　自分のネームを…　|　助手的工作告一段落 该想想自己的分镜…
EP03：先輩　|　学姐
EP03：ゆいじゃん　|　这不是唯吗
EP03：直接会うの半年ぶりくらい　|　算起来有半年没见了
EP03：どうかね　鵜木ゆいくん　|　最近如何 鹈木唯君
EP03：顧問の江原先生はお元気…　|　顾问江原老师可还好…
EP03：先輩　|　学姐
EP03：私も旅に連れていってください　|　也请带我一起去旅行
EP03：だって　ちか先輩この間暦さんと旅に行ったじゃないですか　|　因为 千花学姐之前不是和历姐一起去了吗
EP03：ずるいです　|　不公平
EP03：ずるいって言われても　|　就算说不公平
EP03：暦さん　メッチャあおってくるんですよ　|　历姐总是来挑衅我
EP03：すずちんと旅　楽しかった　|　和铃亲的旅行好开心啊
EP03：まじ峡谷鉄道だったわ　|　峡谷铁路真是太棒了
EP03：乗ってないけどね　|　虽然我们没坐成
EP03：ハッスーはゆいからかうの好きだよなあ　|　小莲真喜欢逗唯啊
EP03：ホントにもうムカつきます　|　真让人火大
EP03：かわいいからわからんでもないけど　|　不过也能理解 毕竟唯太可爱了
EP03：親にも許可もらってますし　バイトしてお金もそこそこあります　|　我父母已经同意了 也打工存了些钱
EP03：だから…　|　所以…
EP03：ハッスーとの旅で２人も楽しいって知ったし　|　和小莲的旅行让我发现了双人旅行的乐趣
EP03：ゆいがこんなふうにねだってくるなんて珍しいし　|　而且难得看到唯这样央求撒娇
EP03：じゃあ　行こうか　|　那就去吧
EP03：ちょうどもうすぐゴールデンウイークだしね　|　刚好马上就是黄金周了
EP03：ホントですか　|　真的吗
EP03：わい　先輩と旅　|　太好了 和学姐去旅行
EP03：ういヤツめ　|　真可爱啊
EP03：行き先はダベッターのアンケートで決めちゃうよ　|　目的地就用Dabetter投票来决定吧
EP03：やりました　これで…　|　太好了 这样…
EP03：ちょっと上のほう続いてる　|　已经去了上面的很多地方
EP03：左のほうメインに出してみようかな　|　这次主要看看左边吧
EP03：東海　近畿　中国　四国地方かな　|　东海 近畿 中国 四国地区之类的
EP03：いえ　なんでも　|　没什么
EP03：楽しみですね　|　真期待呀
EP03：だね　|　是啊
EP03：人すごいねえ　|　人真多啊
EP03：指定席いっぱいとは　|　指定席居然坐满了
EP03：始発駅じゃなかったら自由席にも座れませんでしたね　|　不是始发站的话连自由席都抢不到呢
EP03：だね　|　是啊
EP03：これがゴールデンウイークの力　|　这就是黄金周的威力
EP03：さあ　私のざつな旅史上最も遠距離な旅が始まるぞ　|　那么 我随性旅行史上的最远篇章就此开始
EP03：わい　|　好
EP03：うどん屋さんも混んでそうですね　|　乌冬面馆应该也会人满为患
EP03：ほどほどに頼む　|　希望人不要太多
EP03：ここまで行くコトにしたよ　|　决定去这了哦
EP03：先輩　大学ってどうですか　|　学姐 大学生活如何
EP03：どうって…そうだなあ　|　如何…怎么说呢
EP03：思ってたより自由きくから　|　比想象中更自由
EP03：漫画描いたりアシスタントのお仕事行ったり　|　能画漫画 能做漫画助手工作
EP03：こうやって旅にでられたりいい感じかな　|　还能像这样出来旅行 感觉挺不错
EP03：疲れてませんか　|　不会觉得累吗
EP03：疲れるけど楽しいよ　|　虽然累但很快乐
EP03：大学といえばさ　|　说到大学
EP03：興味本位で日本史の講義とか取ってみたんだけどやっぱ苦手でさ　|　我出于好奇选修了日本史 但果然还是不太擅长
EP03：ゆい　歴史好きだったよね　|　唯很喜欢历史吧
EP03：覚えるのに何かコツとか　|　有没有什么记忆诀窍
EP03：愛です　|　是爱
EP03：好きになることです　|　要喜欢上它
EP03：例えば　今日行く高松には高松城がありまして　|　比如 我们今天要去的高松就有高松城
EP03：このお城　昔は直接海に出ることができた珍しいお城で　|　这座城 以前是罕见的能直接出海的城池
EP03：日本三大水城に挙げられているんです　|　是日本三大水城之一
EP03：どうですか　ワクワクしませんか　|　怎么样 心动不已吗
EP03：それから　400年以上の歴史があるお城で　|　而且这是座有400多年历史的城池
EP03：正確には城跡なんですけど　|　严格来说是城池遗址
EP03：石垣とか年代によって作り方も違くて　|　石墙的砌法也会随着年代而变化
EP03：ソレを直接見られるかもと思うと…　|　一想到能亲眼看到…
EP03：よし　うどん食べたら　そこも必ず行こう　|　好 吃完乌冬面 一定去那里看看
EP03：はい　|　好的
EP03：うどん県　香川　|　乌冬县 香川
EP03：上陸です　|　成功登陆
EP03：６時半に東京を出発してもう11時過ぎ　|　6点半就从东京出发 现在都11点多了
EP03：片道約１万8000円　|　单程约18000日元
EP03：かかったねえ　時間もお金も　|　真是又花时间又花钱
EP03：朝ごはん食べたのにおなかすいちゃいました　|　明明吃过早饭 但肚子又饿了
EP03：私も　だけど　|　我也是 不过
EP03：テレビで見て憧れてたうどん屋さんに行きたいから　もう少し我慢ね　|　我想去电视里憧憬已久的那家乌冬面馆 再忍忍吧
EP03：うどん　うまい　|　乌冬面 真好吃
EP03：はい　我慢し…　|　好 我忍忍…
EP03：先輩　すごい　ホームの後ろに石垣が　|　学姐 好厉害 站台后面就是石墙
EP03：これ　打込接ぎですかね　|　这是用的打入垒砌法吧
EP03：野面積みじゃないですよねえ　|　不是天然垒砌法吧
EP03：すまん　わからんでござるよ　|　抱歉 我对这些一窍不通
EP03：ここが例の？　|　这就是你说的那个？
EP03：ですです　明日行きましょう　|　没错没错 明天去看看吧
EP03：電車かわいい　|　这电车真可爱
EP03：瓦町で乗り換えしたよ　|　在瓦町换乘
EP03：源平合戦ってここだったんだ　|　源平合战就是在这发生的啊
EP03：そうですよ　|　是啊
EP03：あの山　おもしろい形してるね　|　那山的形状真有趣
EP03：ホントだ　|　真的呢
EP03：１時間待ちくらいですね　|　要等一小时左右呢
EP03：まさか　このうどん屋さんに入るために渋滞ができていたなんて　|　没想到 这家乌冬店居然排起了长队
EP03：人すごいですね　|　人真多啊
EP03：でもここまで来たんだ　待つよ　|　但都来到这了 等等吧
EP03：もちろんです　|　那当然了
EP03：それにしても　|　话说回来
EP03：いいねえ　|　真不错啊
EP03：あの　先輩　|　那个 学姐
EP03：私　高校３年になりました　|　我高三了
EP03：そっか　早いもんだね　|　是吗 时间过得真快啊
EP03：それでちょっと相談というかお話ししたくて　|　所以有件事想和你商量
EP03：どした　改まって　|　怎么了 突然这么正式
EP03：私が１年のとき　|　我高一入学时
EP03：３年生の先輩はやる気に満ちあふれ　|　看到高三的学姐总是干劲十足
EP03：かの信玄公の　|　就像是武田信玄
EP03：「成せば為る　為さねば成らぬ成る業を成らぬと捨つる人の儚き」を　|　「为之则成 不为则败 将可为之事弃之者 难有作为」
EP03：体現するかのように見えました　|　这句名言中所描绘的一样
EP03：どういう意味だっけ　それ　|　这句话是什么意思来着
EP03：部活に受験勉強　漫画のアシスタントに自分の漫画まで　|　社团活动 准备考试 当漫画助手还要画自己的漫画
EP03：私は先輩みたいに頑張れるかなって不安で　|　我担心自己无法像学姐那样努力
EP03：私　そんなだったっけ　|　我有那么厉害吗
EP03：大したものじゃ　|　没什么大不了的
EP03：私は　|　我
EP03：なんだろう　|　怎么说呢
EP03：ただ　|　只是
EP03：「あのとき　ああすればよかった」って思うのが嫌なだけなんだよ　|　不想将来后悔 觉得「如果当时那样做就好了」
EP03：それは今も同じで　|　现在也一样
EP03：前に旅でさ　すごい長い階段見つけて　|　之前旅行 我遇到过超长的台阶
EP03：1225段だよ　|　有1225级哦
EP03：「コレ上らなかったらあとで後悔する」ってピーンときて　|　当时我突然闪过「不爬上去的话肯定会后悔」的念头
EP03：うまく言えないけど　|　虽然无法说清楚
EP03：そう思ったことだけは逃さないようにしたら　いいんじゃないかな　|　但抓住每个让你有这种冲动的瞬间 或许就是关键吧
EP03：なんてね　|　大概是这样
EP03：はい　|　好的
EP03：うまく先輩できたかな　|　我这学姐还算合格吧
EP03：というか思い出したけど　|　我想起来了
EP03：私　試合でゆいに勝ったことないじゃん　|　我在比赛里从没赢过唯吧
EP03：もっと練習しとけばよかった　|　当初该多练练的
EP03：また剣道しましょうか　|　之后再来比比剑道吧
EP03：もう１年以上竹刀握ってないって　|　我都一年多没握竹刀了
EP03：鈴ヶ森さん　|　铃森小姐
EP03：はーい　|　来了
EP03：ぶっかけうどん　|　浇汁乌冬面
EP03：濃いめのだし汁をうどんにぶっかけていただく讃岐うどん　|　将浓郁高汤浇在乌冬面上的赞岐特色吃法
EP03：これがあの…　|　这就是那个…
EP03：キラキラしてきれいです　|　晶莹剔透好漂亮
EP03：では　香川のうどん　いただきます　|　那么 香川乌冬面 开动啦
EP03：舌触りはやわらかいのに　１回じゃかみ切れないこのコシ　|　口感柔滑却充满嚼劲
EP03：かめばかむほど口の中にうどんの味が広がって　|　越嚼乌冬面的味道越是在口中扩散
EP03：これが　うどん県のうどん　|　这就是乌冬县的乌冬面
EP03：おいしいです　|　真好吃
EP03：先輩と香川でうどん食べてるって暦さんに自慢しときます　|　我要跟历姐炫耀我和学姐在香川吃乌冬面
EP03：今しとかないと後悔しそうです　|　现在不说肯定会后悔
EP03：いいね　やっちゃえやっちゃえ　|　不错呢 快找她快找她
EP03：八栗寺は四国八十八ヶ所巡り　八十五番札所で　|　八栗寺是四国八十八处灵场巡礼中的第八十五号札所
EP03：天長６年　西暦829年に空海さんが開創したらしい　|　据说是空海大师于天长六年 即公元829年开创
EP03：四国の中でも珍しい形をしている五剣山の中腹にある　|　位于即使在四国也造型罕见的五剑山半山腰
EP03：近づいたら山の圧がすごい　|　靠近时能感受到山的压迫感
EP03：ありがたい　|　真令人敬畏
EP03：先輩　あそこ　|　学姐 看那边
EP03：なるほど　|　原来如此
EP03：では　いきますね　|　那么我要敲了
EP03：せっ　のっ　|　预备
EP03：先輩　|　学姐
EP03：先輩もどうぞ　|　学姐也请
EP03：うるさかった？ごめん　|　吵到你们了？对不起
EP03：すごいです　|　太棒了
EP03：心洗われるね　|　心灵都被净化了
EP03：で　そろそろ宿を探さないとだけど　|　差不多该去找旅馆了
EP03：この辺はなさそうだから　高松駅のほうへ戻ろう　|　这附近好像没有 回高松站附近看看吧
EP03：はい　|　好的
EP03：先輩　|　学姐
EP03：はーっ!?なんだそれ　|　哈啊?!怎么这样
EP03：私がバイトしてる時にそんなイイモノを　|　在我打工的时候吃这么好
EP03：いいもん　にじゅうまるうどん行くもん　|　没关系 我去二重丸吃乌冬面
EP03：もんって…　|　这语气…
EP03：本日は満室です　|　今日满房
EP03：いっぱいですね　|　客满呢
EP03：今日はちょっと…すみません　|　今天有点…不好意思
EP03：マジかあ　|　不是吧
EP03：ごめん　ゴールデンウイークを完全に甘く見てた　|　对不起 我完全了低估黄金周
EP03：今までなんとかなってたから　|　之前都想办法订到了
EP03：大丈夫ですよ　|　没关系啦
EP03：先輩とだったら　夜通しお散歩しても楽しいですから　|　和学姐一起的话 通宵散步也很开心
EP03：ゆい　気を遣って　|　唯还在安慰我
EP03：でも　慕ってくれる後輩にそんなこと　|　但可不能让仰慕自己的学妹失望
EP03：いや　もうちょっと探そう　|　不 再找找看
EP03：キャンセルとかあるかも　|　说不定有人临时退房
EP03：ですね　|　说得也是
EP03：あの　今日って部屋空いてたり　|　请问 今天还有空房吗
EP03：ここもダメか　|　这里也没有吗
EP03：あるで　|　有哦
EP03：ですよね　すみませ　|　也是 打扰了
EP03：泊まる　ならこれ書いてな　宿泊名簿　|　要住吗 那请填写下住宿登记表
EP03：今の間　完全に「ない」の間だったでしょ　|　刚才的间隙明显就是要说「没有」吧
EP03：でも　|　但是
EP03：やった　|　太好了
EP03：諦めなくてよかった　|　幸好没放弃
EP03：はい　別々の部屋でちょっと寂しいですけど　|　是的 虽然分房睡有点寂寞
EP03：明日またすぐ会えるから　|　明天马上就能见面啦
EP03：はい　高松城跡は公園に整備されているそうです　|　是的 据说高松城遗址已被改建成公园了
EP03：先輩とゆったり散策するの　楽しみです　|　我很期待和学姐一起悠闲地散步
EP03：いいね　|　真不错呢
EP03：それじゃあ　今日はゆっくり休もう　|　那今晚先好好休息
EP03：おやすみ　|　晚安
EP03：おやすみなさい　先輩　|　晚安 学姐
EP03：石垣がすごいです　|　石墙真壮观啊
EP03：これ　作りが違います　|　这个 砌法完全不一样
EP03：すごい　|　真厉害
EP03：ゆったり散策　|　悠闲地漫步
EP03：見てください　これ　|　快看这个
EP03：ここで鯛に餌やりを　|　这里可以给鲷鱼喂食
EP03：鯛パーティーだあ　|　鲷鱼派对啊
EP03：タイパかあ　|　鲷派吗
EP03：ほら先輩　ここ　全然積み方が違うでしょう　|　学姐 看这里 砌法完全不同吧
EP03：ホントだ　こんなに違うものなんだ　|　真的啊 差异居然这么大
EP03：意識して見たことなかったよ　|　以前从没注意过
EP03：興味出てきましたか　でしたら金沢城跡とかいいですよ　|　开始感兴趣了吗 那十分推荐金泽城遗址哦
EP03：いろいろな時代の石垣が一堂に会していまして　|　那里汇集了各个时代的石墙
EP03：ホントに好きなんだねえ　|　你真的很喜欢呢
EP03：水手御門です　|　是水手御门
EP03：昔は城の真下まで海だったので　ここから舟に乗ったそうですよ　|　听说以前城下就是大海 所以就是从这里乘船呢
EP03：こうやって先輩と過ごすの久々ですね　|　很久没和学姐一起这样共度时光了
EP03：なにこれ　|　这是什么
EP03：部活の帰り道とか懐かしいです　|　怀念曾经社团活动后一起回家的日子
EP03：手水鉢です　|　是手水钵
EP03：確かに　|　确实
EP03：旅　いいですね　|　旅行 真棒啊
EP03：でしょ　|　对吧
EP03：私　実はちょっとだけ心配だったんです　|　其实我之前有些担心
EP03：だって　急に旅って　|　因为突然说要去旅行
EP03：先輩　愚痴とか言わないから　|　学姐总憋着烦恼不去抱怨
EP03：なんかこう　爆発しちゃったのかなって　|　我就想是不是一下子压力都爆发了
EP03：いや　言わないだけだよ　|　不 我只是不向他人倾诉而已
EP03：家ではうなってるよ　|　在家里也会呻吟发泄
EP03：ベッドに突っ伏してうおって　|　趴在床上呜喔地叫之类的
