EP01 IN
EP01：フリーダ　|　弗里达
EP03：給与は変わらずに支払っているのだ　問題あるまい　|　他们的工资照发 无需担心
EP03：なあ　料理長　|　是吧 厨师长
EP03：仰せのままに　|　谨遵吩咐
EP03：料理長　|　厨师长
EP03：貴兄は人を使うということがどういうことか　分かっていないようだろ　|　看来你根本不懂用人啊
EP03：しかし自分でも驚いたぞ　|　不过我自己也没想到
EP03：俺にできないことなどないとは思っていたが　|　虽然我知道自己无所不能
EP03：まさか料理の腕まで一流だったとはな　|　却没曾想连料理水平也是一流
EP03：ダリちゃんなら没落してもやっていけそうだ　|　看来小达利就算家道中落也不愁谋生呢
EP03：笑うな　|　别笑了
EP03：よし　シチューを煮込んでいる間に　|　趁炖菜在锅里煮着
EP03：ブラッドチェリーの皮剥きを手伝ってくれ　|　来帮我剥血樱桃皮吧
EP03：あい　|　好
EP03：ダリ卿　|　达利卿
EP03：ざれ事もほどほどにしてもらおうか　|　玩闹就适可而止吧
EP03：任務に支障が出るのは論外だぞ　|　可不能拖慢了任务进度
EP03：今の攻めては向こうだ　|　现在是对方主场
EP03：捜査員を各所に派遣してはいるが　こちらは待つしかない　|　虽然向各处派遣了调查人员 但我们只能等待
EP03：「全てはTRUMPのお心のために」　|　「一切都是为了TRUMP的意志」
EP03：「これはペンデュラムの導きである」か　|　「这是灵摆的指引」
EP03：犯人が自分で素性を明かすなんて…　|　犯人居然亮出身份…
EP03：甚だ遺憾だ　|　非常遗憾
EP03：これは僕たちを愚弄する行為に他ならない　|　这无疑是在侮辱我们
EP03：なんか裏がありそうだね　|　我总感觉另有企图
EP03：裏も何もない　|　还能有什么企图
EP03：一連の事件は自分たちの仕業であると知らしめたかったんだろう　|　无非是在宣扬这一系列事件皆出自他们之手
EP03：知らしめるか　|　宣扬吗
EP03：世間に対してというわけでもなかろう　|　而且并非面向世间之人吧
EP03：俺たちヴラド機関に対する自己紹介ってところか　|　是在向我们弗拉德机关做自我介绍吗
EP03：ヴラド機関の存在が敵に知られているとは　|　弗拉德机关的存在居然被敌人知道了
EP03：血盟議会にスパイでも入り込んでるのかもね　|　血盟议会中说不定混入了间谍
EP03：ペンデュラム　吸血種社会でも有数の犯罪組織だ　|　灵摆 吸血种社会中著名的犯罪组织
EP03：異端審問官時代に　俺もゲルハルトもずいぶん手を焼かされた　|　我和盖尔哈德做异端审问官时 也被他们困扰过
EP03：吸血種の神であるTRUMPを信奉し　|　信奉吸血种之神TRUMP
EP03：あらゆる犯罪の裏で暗躍しているとされる組織　|　暗中活跃于各种犯罪事件中的组织
EP03：今回の事件が連中の仕業だとすると　狙いはなんだ　|　如果这次事件是他们所为 那么目的是什么
EP03：「グランギニョル」　|　「恐怖戏剧」
EP03：不老不死の命を持ち　永遠に生き続けなければならないTRUMPに　|　为不老不死 必须永远生存的TRUPM
EP03：死を捧げる儀式だ　|　献上死亡的仪式
EP03：すべての吸血種は　TRUMPと精神的なつながりを持つとされる　|　所有的吸血种 都和TRUMP有着精神上的联系
EP03：死ねないTRUMPのために　疑似体験としての死を届ける儀式が　|　为无法死去的TRUMP献上死亡模拟体验的仪式
EP03：「グランギニョル」　|　就是「恐怖戏剧」
EP03：死を届ける　|　献上死亡
EP03：単刀直入に聞こう　|　我就直接问了
EP03：貴兄はペンデュラムとは浅からぬ関係のはずだ　|　你和灵摆应该有颇有渊源
EP03：はあ　|　是
EP03：何せこのダリ・デリコは　グランギニョルの標的になったことがあるからだ　|　毕竟我达利·德里科曾经成为过恐怖戏剧的目标
EP03：ダリ　|　达利
EP03：本件において我らは運命共同体のはず　|　在这件事上 我们是命运共同体
EP03：聞かせてもらおうか　|　告诉我们实情吧
EP03：隠すつもりはない　|　我没打算隐瞒
EP03：今から一年以上前のことだ　|　这是一年多以前的事情
EP03：俺はある男を追っていた　|　我当时在追踪一个男人
EP03：バルラハ・ベル　|　巴拉赫·贝尔
EP03：クランに収容された繭期の吸血種たちが　次々と失踪する事件　|　被收容于氏族中的茧期吸血种接连失踪的事件
EP03：その首謀者とされていた男だ　|　他就是主谋
EP03：聞いてはいる　|　我听说过
EP03：繭期少年少女失踪事件　|　茧期少年少女失踪事件
EP03：実に吐き気を催す事件だ　|　实在是令人作呕的事件
EP03：バルラハは彼らを監禁し　陰惨な実験を行っていた　|　巴拉赫把他们监禁起来 进行惨无人道的实验
EP03：イニシアチブ実験だ　|　主动权实验
EP03：噛まれたものが噛んだものの絶対服従となる　|　被咬者会完全服从咬人者
EP03：吸血種の特性を探るための狂気の沙汰だ　|　这是为了探索吸血种特性的疯狂行为
EP03：イニシアチブを掌握された繭期の少年少女たちは　|　被掌握主动权的茧期少年少女们
EP03：自由意志を奪われ　奴らの傀儡として　|　失去自由意志 成为他们的傀儡
EP03：より凄惨な実験に利用され使い捨てにされていた　|　被用于更凄惨的实验中 最后被抛弃
EP03：人体実験　|　人体实验
EP03：俺は中心人物であったバルラハを追い詰めていった　|　我当时正在追捕核心人物巴拉赫
EP03：だが　捜査の手が及ぶ前に　奴は手を打ってきた　|　但是在搜查到他之前 他先一步采取了行动
EP03：さあ　ショータイムだ　|　来吧 表演时间到了
EP03：バルラハは手下やイニシアチブで操った繭期の吸血種たちを引き連れて　|　巴拉赫带着手下和被操纵的茧期吸血种们
EP03：我が屋敷へと奇襲を仕掛けてきたんだ　|　对我的宅邸发动奇袭
EP03：隠れていろ　|　快躲起来
EP03：そして　|　之后
EP03：奴らはフリーダのイニシアチブを取った　|　他们取得了弗里达的主动权
EP03：フリーダに下されたイニシアチブによる命令は　|　弗里达被下达的命令是
EP03：「愛する者を　その手で殺せ」　|　「亲手杀死所爱之人」
EP03：だから彼女は…　|　所以她…
EP03：フリーダ　|　弗里达
EP03：俺を殺そうと向かってきた　|　来将我杀死
EP03：フリーダ　|　弗里达
EP03：フリーダ　|　弗里达
EP03：すまない　ダリ　|　对不起 达利
EP03：君を死なせるわけにはいかないんだ　|　我决不能让你死
EP03：合点がいったぞ　|　这下就说通了
EP03：ゲルハルト卿がダリ卿に肩入れするのは　その罪滅ぼしのつもりか　|　盖尔哈德卿这么照顾达利卿 是为了赎罪吗
EP03：貴兄らはおかしなことを言う　|　可真会开玩笑
EP03：ゲルハルトを見損なわないでもらおうか　|　别小看盖尔哈德
EP03：どういうこと　|　什么意思
EP03：ゲルハルトは誇り高きフラ家の当主だぞ　|　盖尔哈德是高贵的弗拉家当家
EP03：任務に私情を持ち込む男ではない　|　不会将私情带入任务
EP03：ゲルハルトがいなければ　俺は殺されていた　|　如果不是盖尔哈德 我早就死了
EP03：そもそも　俺があのような状況に追い込まれなければ　|　而且 如果我不陷入那种状况的话
EP03：ゲルハルトの手を煩わせることもなかった　|　也就不需要盖尔哈德出手了
EP03：ゲルハルトはただの命の恩人だ　|　盖尔哈德是我的救命恩人
EP03：僕はその物言いが気に入らない　|　我不喜欢你这种说法
EP03：理解できんな　|　无法理解
EP03：まあ　いいんじゃない　|　算了 这不是挺好的吗
EP03：そのデリコ邸襲撃に関わった　バルラハ・ベルという吸血種が　|　那个袭击了德里科宅的吸血种巴拉赫·贝尔
EP03：ペンデュラムのメンバーというわけか　|　是灵摆的成员吗
EP03：ああ　そうだ　|　是的
EP03：今回の事件との関係は　|　和这次事件有什么关系
EP03：バルラハはあの事件の際に死亡した　|　巴拉赫已经在那次事件中死了
EP03：ならば…　|　那…
EP03：ペンデュラムがどれほどの規模を持つ組織なのかは分からんが　|　我不知道灵摆是多大规模的组织
EP03：TRUMPの存在を信仰する狂信者の集まりであるならば　|　如果他们是一群信仰TRUMP存在的狂热信徒
EP03：それを排除することが俺たちの使命だ　|　将其除掉就是我们的使命
EP03：原初信仰者どもはトラブルの種だ　|　最初的信仰者们就是麻烦的种子
EP03：芽が出れば摘み取る　|　冒头就要及时除掉
EP03：そのためにヴラド機関が存在している　|　弗拉德机关正是为此而存在
EP03：でも　向こうが動くのをただ待つってのもな　|　但是 也不能就这样等待对面行动啊
EP03：こうしている間にも犠牲者が増えるかもしれないだろう　|　等待的时候牺牲者也可能会增加吧
EP03：僕たちのやるべきことは個人を守ることではない　|　我们该做的事不是保护个人
EP03：種族全体を存続させることだ　|　而是让种族存续下去
EP03：そのためには多少の…　|　为此就算牺牲…
EP03：さて　そろそろシチューも煮える頃か　|　好了 炖菜差不多煮好了吧
EP03：俺はウルの様子を見てくる　|　我去看看乌尔
EP03：あとは頼んだぞ　|　之后就拜托了
EP03：ダリちゃんはさ　きっと奥さんの分まで子供たちを愛そうとしてるんだね　|　他啊 肯定是想连妻子的那份爱也一起给予孩子吧
EP03：虫唾が走ることを言うのはやめてもらおうか　|　不要讲这种恶心的话好吗
EP03：これは呪いだ　|　这是诅咒
EP03：こっちこっち　|　这边 这边
EP03：待って　|　等一下
EP03：僕も　|　还有我
EP03：嫌だもん　|　才不等
EP03：元気が良いですな　|　真有活力
EP03：ほら　気をつけないと転びますよ　|　慢点 小心摔倒了
EP03：大丈夫　|　没事的
EP03：平気　|　不用担心
EP03：ほら　ウル　どうだ　|　来 乌尔 怎么样
EP03：高い　高いな　|　举高高 举高高
EP03：笑ったな　|　笑了
EP03：泣いているお前も威勢がいいが　笑えばまさに敵なしだな　|　你哭闹的时候也挺有气势的 但笑起来简直无人能敌
EP03：ほら　もうちょっと　|　来 就差一点了
EP03：いいか　ウル　|　听好了 乌尔
EP03：やがてお前にも繭期が訪れる　|　你也会成长到茧期的年龄
EP03：吸血種は誰だって繭期になるんだ　|　吸血种都会经历茧期
EP03：そうしたらお前はクランというところに入ることになる　|　那时你就会进入一个名叫氏族的地方
EP03：そこでお前は　きっとかけがえのない友を得るだろう　|　你肯定能在那里交到无可替代的朋友
EP03：その友と笑って　喧嘩して　|　和朋友一起欢笑 争吵
EP03：切磋琢磨して　そうやってお前は大人になっていく…　|　互相切磋 就这样慢慢成为大人…
EP03：どうされました　ラファエロ坊様　|　发生什么了 拉斐尔少爷
EP03：あれ　|　那边
EP03：やれやれ　|　哎呀
EP03：こいつはまいった　|　这下糟了
EP03：旦那様　|　老爷
EP03：お父様　|　父亲大人
EP03：お父様　|　父亲大人
EP03：フリーダ　|　弗里达
EP03：起こしてしまいましたね　|　我吵醒你了
EP03：何です　お化けでも見るみたいな顔して　|　怎么了 表情像见鬼了一样
EP03：ああ　でも　怖くはない　|　是啊 但是我不害怕
EP03：ずっと会いたかったからな　|　我一直都想见你
EP03：そう　|　这样啊
EP03：お前は何も心配しなくていい　|　你什么都不需要担心
EP03：少々不覚はとったが　|　虽然有点小坎坷
EP03：このダリ・デリコの育児は完璧なんだ　|　但我达利·德里科的育儿毫无瑕疵
EP03：一生懸命やってくださっているのですね　|　你有尽心竭力地带孩子啊
EP03：もちろんだ　|　那是自然
EP03：ラファエロもウルも　俺が立派に育ててみせる　|　拉斐尔和乌尔 我都会好好养大
EP03：でも　あまり無理はしないで　|　但不要太勉强自己
EP03：無理などしていない　|　我没有勉强自己
EP03：俺にかかれば子育てなど造作もないことだ　|　只要我上手 育儿就是小菜一碟
EP03：私はあの子たちをあなたに託しました　|　我把孩子们托付给你了
EP03：そうするしかなかったから　|　因为那时我别无他法
EP03：あなたはそれに十分すぎるほど応えようとしてくださっている　|　而你的努力超出了我的预期
EP03：フリーダ　|　弗里达
EP03：一緒にいられなくてごめんなさい　|　对不起 不能陪在你身边
EP03：でもお願い　|　但是希望你
EP03：一人で抱え込まないで　|　不要独自承担
EP03：フリーダ　|　弗里达
EP03：お目覚めになられたのですね　|　您醒了
EP03：よかった　|　太好了
EP03：ウルは　|　乌尔呢
EP03：ご心配なく　|　您不必担心
EP03：傷一つございません　|　他毫发未损
EP03：そうか　|　这样啊
EP03：旦那様もしばらくはお休みになられてください　|　老爷也请好好休息一阵
EP03：子供たちはどこだ　|　孩子们在哪里
EP03：よしよし　|　乖 乖
EP03：よしよし　|　乖 乖
EP03：もっと　もっと早く　|　再快点 再快点
EP03：進め　|　前进
EP03：これは？　|　这是？
EP03：ダリ卿　|　达利卿
EP03：何をぼんやりしている　|　你呆站着干什么
EP03：任務と子育てを両立してみろって言ったのは　ダリちゃんだろう　|　是你说要兼顾任务和育儿的吧
EP03：不本意ではあるが　我々はそれを遂行しているだけだ　|　虽然并非本意 但我们正在执行
EP03：貴兄は僕たちチームのリーダーだろう　|　你是我们小组的领袖对吧
EP03：チームとして掲げた方針を貫くのは当然のことだ　|　理应贯彻小组制定的方针
EP03：当然　任務が優先だがな　|　不过任务肯定是优先的
EP03：連続殺人事件の犯人　突き止めるんでしょ　|　我们要查明连续杀人事件的犯人
EP03：殺人事件って何　|　杀人事件是什么
EP03：殺人人？　|　杀人人？
EP03：面白いの　それ　|　这个有趣吗
EP03：面白いかどうかはさておき　父さんたちの大切なお仕事だ　|　先不管有不有趣 这可是爸爸们重要的工作
EP03：事件が解決したらたくさん遊んでやるからな　|　等事件解决了 我陪你们好好玩
EP03：やった　|　太好了
EP03：じゃあすぐ解決して　|　那快点解决
EP03：ルチアとエレーナだけずるい　|　只有露西娅和埃琳娜不公平
EP03：僕は…　|　我…
EP03：ゲルハルトも一緒に遊ぶよな　|　你也会一起玩的吧
EP03：子供と遊ぶのもまた育児　|　和孩子一起玩也是育儿
EP03：つまりは任務の一環だ　|　也即是任务的一环
EP03：いいだろう　|　好啊
EP03：我がフラ家の名にかけて　遊んでやろうではないか　|　赌上我弗拉家的名誉 一起玩个够
EP03：お父様　本当に　|　父亲大人 真的吗
EP03：本当にいいの　|　真的可以吗
EP03：貴族に二言はない　|　贵族无虚言
EP03：よかったね　アンジェリコ　|　太好了 安杰利科
EP03：一緒に遊びましょう　|　我们一起玩吧
EP03：ラファエロも一緒に遊ぼうね　|　拉斐尔也一起玩吧
EP03：遊ぼう　遊ぼう　|　来玩吧 来玩吧
EP03：君も混ぜてもらいなよ　|　你也一起去玩吧
EP03：みんなと一緒に遊びたいんでしょ　|　你想和大家一起玩的吧
EP03：うるさいな　どっか行けよ　|　闭嘴 快走开
EP03：何よ　意地張っちゃってさ　|　什么啊 居然还嘴硬
EP03：隠したって無駄なのにね　|　你撒谎也没用
EP03：そうそう　|　就是就是
EP03：無理しないでよ　|　别逞强了
EP03：あの　旦那様　|　那个 老爷
EP03：どうした　|　怎么了
EP03：お目覚めになられたと聞きまして　|　听说您醒过来了
EP03：ああ　この通りだ　|　没错
EP03：ピンピンしているぞ　|　现在活蹦乱跳的
EP03：旦那様　|　老爷
EP03：また強がりをおっしゃって　|　又在逞能
EP03：いや　すまん　|　不好意思
EP03：最近の旦那様は相当ご無理をされているようにお見受けします　|　最近老爷似乎总是在勉强自己
EP03：育児も任務も　お体が資本でしょう　|　无论育儿还是任务 身体都是资本
EP03：そこで旦那様　|　所以 老爷
EP03：お食事の用意ができております　|　我们为您准备好了食物
EP03：これは？　|　这是？
EP03：鴨の血液を使ったスープでございます　|　用鸭血烧的汤
EP03：まだ本調子ではございませんでしょうから　お体に優しいものをと　|　想到您还没有完全恢复 所以用了对身体好的食材
EP03：「このダリ・デリコには　できないことなどない」そう思っていた　|　我曾认为「我达利·德里科没有做不到的事」
EP03：実際　俺がその気になれば　料理の世界でも富と名声を築くことができるだろうな　|　实际上 只要我想 也能在料理上声名远扬吧
EP03：だが　|　但是
EP03：ここまで絶品の料理を作れるかは分からん　|　未必能做出如此绝佳的料理
EP03：さすがはデリコ家の専属料理人を務めるだけのことはある　|　不愧是德里科家的专属厨师
EP03：旦那様　|　老爷
EP03：料理長　お前に厳命する　|　厨师长 我命令你
EP03：これからは　子供たちの食事も頼めるか　|　今后 孩子们的餐品也能拜托你吗
EP03：やっぱり本職には敵わんからな　|　我还是比不过专业的
EP03：料理長　|　厨师长
EP03：もちろんにございます　|　当然没问题
EP03：よし　早速仕込みに取り掛かるぞ　|　好 快点开始准备吧
EP03：はい　|　好的
EP03：さあ　急げ　|　快点
EP03：旦那様が折れるだなんて　珍しいこともあるものです　|　老爷居然会妥协 真是稀奇
EP03：夢を見たんだよ　|　我做了个梦
EP03：夢？　|　梦？
EP03：お化けの夢だ　|　梦到鬼了
EP03：あまり心配させるとまた出てくるかもな　|　让她太担心的话 可能还会跑出来
EP03：なるほど　|　原来如此
EP03：きっと旦那様のことを心から思っておられるのでしょう　|　她一定是真心替老爷着想吧
EP03：そうだな　|　是啊
EP03：なかなか大変そうだな　育児と任務の両立というのも　|　兼顾育儿和任务 看来真是不容易啊
EP03：笑い事ではありませんぞ　|　这可不是好笑的事
EP03：事件の解決どころか　犯人の足取りすらおいておらんのです　|　别说解决事件了 连犯人的行踪都不明
EP03：ヨハネス卿はこのままダリ・デリコに捜査を任せるおつもりか　|　约翰尼斯卿打算就这样交给达利·德里科吗
EP03：ではモーリス卿は他の誰に任せるのがよいと　|　那莫里斯卿觉得交给谁更好呢
EP03：しかし　このままでは…　|　但是 这样下去…
EP03：ダリは待っているのだよ　|　达利在等待
EP03：事件が動き出し　犯人たちが尻尾を出すのを　|　等待进展发生 犯人们露出狐狸尾巴
EP03：ですが　もし連中がTRUMPに及ぶようなことがあれば…　|　但是 如果他们危及了TRUMP…
EP03：分かっている　|　我知道
EP03：どれだけ犠牲を払おうとも　「コラプス」だけは阻止しなければならない　|　无论付出多少代价 都必须阻止「崩塌」
EP03：もう後戻りはできん　|　已经无法回头了
EP03：そろそろ届いたかしら　こちらのメッセージ　|　我们的信息差不多传达到了吧
EP03：向こうもバカじゃないんだから　|　他们也不是笨蛋
EP03：気付いてもらわなきゃ困るわ　|　要是没发现反而麻烦
EP03：血盟警察が警戒を強化している　動きづらくなるぞ　|　血盟警察正在强化警戒 行动会变得困难
EP03：こちらの狙いが分かろうと　向こうは動かざるをえないさ　|　要想知道我们的目的 他们就不得不行动了
EP03：それじゃ　計画を次の段階に進めるとしましょう　|　那就进入到计划的下一阶段吧
EP03：この世界のどこかにいる神様　|　存在于这个世界某处的神明
EP03：もうすぐお前を　ぶっ壊してやる　|　我们很快就去摧毁你
EP03：#悄然来临之影
EP03：#名为爱的诅咒
EP03 OUT

EP04 IN
EP04：なに　|　怎么了
EP04：またあったですって　|　又发生了
EP04：そうしてくれ　頼む　|　就这样 麻烦你了
EP04：ダリちゃん　|　小达利
EP04：状況は　|　情况如何
EP04：まあ　いつもと同じだよ　|　还是一如既往
EP04：被害者の身元につながりはなし　|　被害人之间毫无关联
EP04：流れからすると　無差別と見るのが妥当だろうね　|　目前看来 无差别行凶比较合理
EP04：で　現場にはいつものが　|　现场依旧留下了这个
EP04：どうした　ダリ　|　怎么了 达利
EP04：原初の吸血種　TRUMP　|　最初的吸血种 TRUMP
EP04：俺たちは　そのたった一人の吸血種から始まった　|　我们都起源于那个吸血种
EP04：ヴラド家に伝わる伝承によるとだな　|　弗拉德家流传的说法是这样的
EP04：TRUMPはすべての吸血種のイニシアチブの頂点に立ち　|　TRUMP位于所有吸血种主动权的顶端
EP04：そのすべてと精神的なつながりを持つとされる　|　与所有吸血种都有着精神上的联系
EP04：ならば　ここにある死もまた　TRUMPに届いているんだろうか　|　那么你们认为这些死亡献给TRUMP了吗
EP04：グランギニョルか　|　恐怖戏剧吗
EP04：TRUMPは　この死をどう感じ　|　TRUMP对这些死亡有何感受
EP04：何を思うんだろうな　|　又作何想法呢
EP04：おい　見ろよ　|　喂 你看他
EP04：ティーチャークラウスか　|　克劳斯老师吗
EP04：また心ここにあらずだ　|　又一副魂不守舍的样子
EP04：放っとけって　|　别管他
EP04：今日もいい天気だ　|　今天也是好天气
EP04：それでは使用人たちの手を借りることにしたのだね　|　这么说你同意佣人帮忙了
EP04：使える人手は有効に使う　|　有能者应该多加善用
EP04：それが人の上に立つものの立ち振る舞い　というものでしょう　|　我想这才是一个领导者应该做的
EP04：子育てに関しては　君は背負い込みすぎる嫌いがあったからな　|　育儿这事你确实容易费过多心思
EP04：ゲルハルトやディーノ　エンリケも手伝ってくれています　|　盖尔哈德和迪诺 恩里克也帮了我不少
EP04：もっとも　俺も彼らのこの面倒を見ますがね　|　不过 我也会帮他们看孩子
EP04：それはよい　|　真不错
EP04：彼らはヴラド機関の同志であり　今やパパ友でもあります　|　我们既在弗拉德机关共事 也一起当爸爸育儿
EP04：全員ウルのおしめも替えられるようになりました　|　大家都学会怎么给乌尔换尿布了
EP04：そうか　|　是吗
EP04：それとついに先日　ウルがハイハイをしたのです　|　就在几天前 乌尔终于会爬了
EP04：なんと　ハイハイをな　|　什么 都会爬了
EP04：ええ　子育ては苦労が絶えませんが　|　没错 虽然育儿非常辛苦
EP04：あのように成長していく様を見ると　|　但只要能看见孩子们的成长
EP04：疲れも忘れるものです　|　多累都不值一提
EP04：子供が子供である時間はあっという間だぞ　|　孩子们的童年可是转瞬即逝
EP04：今という時を噛みしめて過ごしたまえ　|　珍惜现在的每一天吧
EP04：ええ　もちろんです　|　当然
EP04：実はここだけの話　|　告诉你个秘密
EP04：育児日記をつけ始めたのです　|　我开始写育儿日记了
EP04：ラファエロの身長も先週と比べると…　|　拉斐尔这周又长高了…
EP04：我々は子育ての話を聞きに来たのではない　|　我们不是来听你讲育儿故事的
EP04：捜査の進捗を確かめに来たのだ　|　而是来确认搜查进展的
EP04：ヨハネス卿も　一緒になって育児話に花を咲かせている場合ではありませんぞ　|　约翰尼斯卿也是 现在可没时间让你们大聊育儿话题了
EP04：まあ　良いではないか　|　没事 这样也好
EP04：育児と任務の両立はこのナーサリーの重要課題だ　|　育儿和任务兼顾可是这个托儿所的重要课题
EP04：犯行グループの足取りが追えない以上　|　犯罪组织的行踪尚且不明
EP04：ここはTRUMPの保護に動くべきです　|　当下应该优先确保TRUMP的安全
EP04：モーリス卿　|　莫里斯卿
EP04：TRUMPの所在は最高機密事項だ　|　TRUMP的所在地是最高机密事项
EP04：ヴラド機関でさえ　知るのは私と副長官のウンベルト卿　|　即使是弗拉德机关内 除去我和副长官翁贝托卿
EP04：あとは監察官を務める一部のもののみに限られている　|　知情者也就只有部分监察官了
EP04：悠長なことを言っている場合ではない　|　现在可不能高枕无忧
EP04：もし「コラプス」が…　|　要是「崩塌」…
EP04：「コラプス」が引き起こされたらどうするおつもりか　|　要是发生了「崩塌」该怎么办
EP04：子供たちは　|　孩子们呢
EP04：ようやく寝かしつけたところ　|　刚刚哄睡着
EP04：ヨハネス卿らは帰られたのか　|　约翰尼斯卿他们回去了吗
EP04：なんかモーリス卿　偉い見幕で怒ってたみたいだけど　|　莫里斯卿好像大发雷霆了
EP04：ヴラド機関のナンバースリーともあろうものが　思いのほかキモが小さいと見える　|　弗拉德机关的第三号人物 没想到竟然这么不沉稳
EP04：上官に向ける言葉ではないぞ　ダリ　|　不要说上级的坏话 达利
EP04：で　なんて　|　结果呢 怎么样
EP04：モーリス卿は「コラプス」を恐れている　|　莫里斯卿担心发生「崩塌」
EP04：「コラプス」　種の崩壊か　|　「崩塌」 种族崩坏吗
EP04：歴史上　幾度となく訪れた大惨事だ　|　历史上曾几度到来的大灾难
EP04：二度と引き起こすわけにはいかない　|　绝不能让它再度发生
EP04：今から80年以上前になるか　|　应该过去八十多年了吧
EP04：近年観測された中で　最も大きな被害は　|　近年观测到受害最多的那一次
EP04：TRUMPの精神状態悪化による　吸血種大量死現象　|　TRUMP精神状态恶化而导致的 吸血种大量死亡现象
EP04：不老不死であるTRUMPの希死念慮に精神を汚染され　|　他们的精神被不老不死的TRUMP的自杀念想所污染
EP04：世界中のあらゆるところ　あらゆる手段で　|　于是在世界各处 以各种手段
EP04：夥しい数の吸血種が自ら死を選んだ　|　众多吸血种结束了自己的生命
EP04：だから俺たちヴラド機関は　|　所以我们弗拉德机关
EP04：神様がご機嫌を損ねないように努めなきゃならない　|　必须得努力不让神明不高兴
EP04：まあ　そこは子守と一緒だね　|　和照顾孩子差不多呢
EP04：TRUMPは他者との接触を好まず　隠遁者のように生きているという　|　据说TRUMP不喜欢和他人接触 过着隐居者的生活
EP04：その心は脆く不安定だ　|　他的内心脆弱且不稳定
EP04：連続殺人事件の犯行グループがもし　TRUMPと接触するようなことがあれば　|　要是连续杀人事件的犯罪组织与TRUMP接触的话
EP04：再び大規模のコラプスを引き起こしかねない　|　可能会再次引起大规模的崩塌
EP04：どこにいるのか知らないけど　病んでいる神様を持つと　|　有一个下落不明 心理患病的神明
EP04：俺たち下々の者は苦労が絶えないね　|　我们这些普通人也苦不堪言啊
EP04：お目覚めのようだ　|　看来醒了
EP04：あら　遅かったじゃない　|　哎呀 来得真晚啊
EP04：私の立場も考えてくれ　|　考虑下我的立场
EP04：もし誰かに見られたらおしまいなんだぞ　|　要是被谁看到就完蛋了
EP04：それで　気高きモーリス卿よ　|　所以 高贵的莫里斯卿啊
EP04：捜査状況はどうなってる　|　搜查情况怎么样了
EP04：何も進展はない　|　没有任何进展
EP04：向こうはお前たちの出方を伺っている　|　他们在等待你们行动
EP04：連続殺人を止めようって気はさらさらないみたいね　|　好像完全没有阻止连续杀人的意思呢
EP04：ある意味賢明な判断って感じ　|　某种意义上是聪明的判断
EP04：奴らはこちらがTRUMPに接触することのみを警戒している　|　他们唯独警戒着我们接触TRUMP
EP04：じゃあ　誰が何人死のうがお構いなしってわけね　|　那么 就是死多少人都没关系了
EP04：なんて無慈悲なのかしら　|　多么冷酷无情啊
EP04：それで　連中はTRUMPの保護に動き出すのか　|　那么 他们开始保护TRUMP了吗
EP04：もしかして　このまま何もしないでいるつもり　|　难道他们打算就这样什么都不做吗
EP04：奴らは分かっているんだろう　|　他们是清楚的吧
EP04：うかつに動けば情報が漏れかねないってことを　|　如果轻举妄动 情报就有可能泄露
EP04：こちらの目的に気づいてるのかしら　|　是不是发现我们的目的了
EP04：察しはついてるのかもな　|　或许已经察觉到了
EP04：勘の働く奴が向こうにいるみたいだ　|　对面好像有个直觉敏感的家伙
EP04：ダリ・デリコよ　ほんとめんどくさい奴　|　达利·德里科 真是麻烦的家伙
EP04：向こうが動かないなら　勝手が変わってくるわね　|　对面要是没有动作的话 情况就与预想不同了
EP04：もうこいつに吐かせたらいいじゃん　|　让这家伙说出来不就好了
EP04：TRUMPがどこにいるのか　|　TRUMP在哪里
EP04：何を言っている　|　你们在说什么
EP04：あんたも知っての通り　繭期の吸血種は精神が不安定なの　|　正如你所知 茧期的吸血种精神是不稳定的
EP04：妄想や幻覚なんてのも珍しくない　|　产生妄想或幻觉也不稀奇
EP04：この世界中の何もかもが愛しくてしょうがないの　|　我对这个世界的一切都喜爱得无法自拔
EP04：だからあんたも殺してから愛してあげる　|　所以我会杀了你再好好疼爱你
EP04：私は何も知らないんだ　|　我什么都不知道啊
EP04：TRUMPがどこにいるかなど　|　TRUMP在哪里之类的
EP04：我がイニシアチブの下に命じる　|　我以主动权命令你
EP04：跪け　|　跪下
EP04：イニシアチブは俺が掌握してんだ　|　我掌握了你的主动权
EP04：あんたは俺の命令に絶対服従なんだよ　|　你绝对服从于我的命令之下
EP04：よしよし　いい子だ　|　乖 乖 好孩子
EP04：寝る子は育つと言うからな　|　正所谓 能睡的孩子长得好
EP04：寝るのがお前の仕事だぞ　|　睡觉就是你的工作
EP04：ラファエロ　起きたのか　|　拉斐尔 起来了吗
EP04：そろそろおやつの時間だな　|　差不多到点心时间了
EP04：クララに言って何か用意してもらえ　|　去叫克拉拉给你准备一些
EP04：いや　|　不要
EP04：おやつじゃないのか　|　不想要点心吗
EP04：ではもう少し寝ていろ　|　那再去睡一会
EP04：いや　|　不要
EP04：そうか　|　是吗
EP04：じゃあ俺が御本を読んでやろう　|　那我读书给你听吧
EP04：お前が好きな本を何でも読んでやるぞ　|　任何你喜欢的书我都给你读
EP04：いや　|　不要
EP04：じゃあ庭で追いかけっこでもして　|　那在庭院里玩抓人游戏
EP04：いや　いや　|　不要 不要
EP04：よしよし　|　乖 乖
EP04：お前が大きな声を出すから　ウルが起きてしまったぞ　|　因为你大声吵闹 乌尔都被吵醒了
